"cell_name","family","ref_name","loc","bel","site","site_type","tile","tile_x","tile_y","slr","clock_region","fanout"
"u_dut/u_unified_p4_kernel/input_mem_reg[2][27][2]","input_mem_reg","FDRE","SLICE_X95Y102","SLICEM.GFF","SLICE_X95Y102","SLICEM","CLEM_X62Y102","318","142","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][27][3]","input_mem_reg","FDRE","SLICE_X98Y107","SLICEM.EFF2","SLICE_X98Y107","SLICEM","CLEM_X64Y107","327","137","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][27][4]","input_mem_reg","FDRE","SLICE_X98Y108","SLICEM.GFF","SLICE_X98Y108","SLICEM","CLEM_X64Y108","327","136","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][27][5]","input_mem_reg","FDRE","SLICE_X99Y108","SLICEL.HFF","SLICE_X99Y108","SLICEL","CLEL_R_X64Y108","329","136","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][27][6]","input_mem_reg","FDRE","SLICE_X95Y106","SLICEM.FFF","SLICE_X95Y106","SLICEM","CLEM_X62Y106","318","138","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][27][7]","input_mem_reg","FDRE","SLICE_X93Y105","SLICEM.GFF2","SLICE_X93Y105","SLICEM","CLEM_X61Y105","313","139","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][27][8]","input_mem_reg","FDRE","SLICE_X98Y105","SLICEM.DFF2","SLICE_X98Y105","SLICEM","CLEM_X64Y105","327","139","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][27][9]","input_mem_reg","FDRE","SLICE_X98Y108","SLICEM.FFF","SLICE_X98Y108","SLICEM","CLEM_X64Y108","327","136","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][28][0]","input_mem_reg","FDRE","SLICE_X93Y111","SLICEM.HFF","SLICE_X93Y111","SLICEM","CLEM_X61Y111","313","133","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][28][10]","input_mem_reg","FDRE","SLICE_X93Y111","SLICEM.GFF","SLICE_X93Y111","SLICEM","CLEM_X61Y111","313","133","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][28][11]","input_mem_reg","FDRE","SLICE_X95Y111","SLICEM.HFF","SLICE_X95Y111","SLICEM","CLEM_X62Y111","318","133","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][28][12]","input_mem_reg","FDRE","SLICE_X93Y111","SLICEM.FFF","SLICE_X93Y111","SLICEM","CLEM_X61Y111","313","133","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][28][13]","input_mem_reg","FDRE","SLICE_X95Y112","SLICEM.HFF2","SLICE_X95Y112","SLICEM","CLEM_X62Y112","318","132","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][28][14]","input_mem_reg","FDRE","SLICE_X95Y114","SLICEM.HFF","SLICE_X95Y114","SLICEM","CLEM_X62Y114","318","130","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][28][15]","input_mem_reg","FDRE","SLICE_X92Y113","SLICEM.DFF","SLICE_X92Y113","SLICEM","CLEM_X60Y113","309","131","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][28][1]","input_mem_reg","FDRE","SLICE_X92Y109","SLICEM.HFF","SLICE_X92Y109","SLICEM","CLEM_X60Y109","309","135","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][28][2]","input_mem_reg","FDRE","SLICE_X92Y109","SLICEM.GFF","SLICE_X92Y109","SLICEM","CLEM_X60Y109","309","135","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][28][3]","input_mem_reg","FDRE","SLICE_X91Y111","SLICEL.HFF2","SLICE_X91Y111","SLICEL","CLEL_R_X59Y111","306","133","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][28][4]","input_mem_reg","FDRE","SLICE_X92Y110","SLICEM.HFF","SLICE_X92Y110","SLICEM","CLEM_X60Y110","309","134","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][28][5]","input_mem_reg","FDRE","SLICE_X93Y110","SLICEM.DFF","SLICE_X93Y110","SLICEM","CLEM_X61Y110","313","134","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][28][6]","input_mem_reg","FDRE","SLICE_X93Y106","SLICEM.DFF","SLICE_X93Y106","SLICEM","CLEM_X61Y106","313","138","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][28][7]","input_mem_reg","FDRE","SLICE_X93Y111","SLICEM.EFF","SLICE_X93Y111","SLICEM","CLEM_X61Y111","313","133","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][28][8]","input_mem_reg","FDRE","SLICE_X91Y111","SLICEL.GFF2","SLICE_X91Y111","SLICEL","CLEL_R_X59Y111","306","133","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][28][9]","input_mem_reg","FDRE","SLICE_X91Y111","SLICEL.FFF2","SLICE_X91Y111","SLICEL","CLEL_R_X59Y111","306","133","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][29][0]","input_mem_reg","FDRE","SLICE_X94Y110","SLICEL.HFF2","SLICE_X94Y110","SLICEL","CLEL_R_X61Y110","315","134","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][29][10]","input_mem_reg","FDRE","SLICE_X92Y114","SLICEM.DFF","SLICE_X92Y114","SLICEM","CLEM_X60Y114","309","130","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][29][11]","input_mem_reg","FDRE","SLICE_X92Y114","SLICEM.CFF","SLICE_X92Y114","SLICEM","CLEM_X60Y114","309","130","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][29][12]","input_mem_reg","FDRE","SLICE_X96Y112","SLICEM.HFF2","SLICE_X96Y112","SLICEM","CLEM_X63Y112","322","132","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][29][13]","input_mem_reg","FDRE","SLICE_X96Y112","SLICEM.GFF2","SLICE_X96Y112","SLICEM","CLEM_X63Y112","322","132","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][29][14]","input_mem_reg","FDRE","SLICE_X93Y112","SLICEM.HFF2","SLICE_X93Y112","SLICEM","CLEM_X61Y112","313","132","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][29][15]","input_mem_reg","FDRE","SLICE_X96Y112","SLICEM.FFF2","SLICE_X96Y112","SLICEM","CLEM_X63Y112","322","132","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][29][1]","input_mem_reg","FDRE","SLICE_X94Y110","SLICEL.GFF2","SLICE_X94Y110","SLICEL","CLEL_R_X61Y110","315","134","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][29][2]","input_mem_reg","FDRE","SLICE_X95Y111","SLICEM.GFF","SLICE_X95Y111","SLICEM","CLEM_X62Y111","318","133","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][29][3]","input_mem_reg","FDRE","SLICE_X96Y112","SLICEM.EFF2","SLICE_X96Y112","SLICEM","CLEM_X63Y112","322","132","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][29][4]","input_mem_reg","FDRE","SLICE_X94Y110","SLICEL.FFF2","SLICE_X94Y110","SLICEL","CLEL_R_X61Y110","315","134","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][29][5]","input_mem_reg","FDRE","SLICE_X94Y113","SLICEL.EFF","SLICE_X94Y113","SLICEL","CLEL_R_X61Y113","315","131","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][29][6]","input_mem_reg","FDRE","SLICE_X93Y112","SLICEM.GFF2","SLICE_X93Y112","SLICEM","CLEM_X61Y112","313","132","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][29][7]","input_mem_reg","FDRE","SLICE_X94Y113","SLICEL.EFF2","SLICE_X94Y113","SLICEL","CLEL_R_X61Y113","315","131","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][29][8]","input_mem_reg","FDRE","SLICE_X91Y114","SLICEL.HFF","SLICE_X91Y114","SLICEL","CLEL_R_X59Y114","306","130","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][29][9]","input_mem_reg","FDRE","SLICE_X91Y114","SLICEL.GFF","SLICE_X91Y114","SLICEL","CLEL_R_X59Y114","306","130","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][2][0]","input_mem_reg","FDRE","SLICE_X84Y94","SLICEL.BFF2","SLICE_X84Y94","SLICEL","CLEL_L_X55Y94","286","150","","X2Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][2][10]","input_mem_reg","FDRE","SLICE_X83Y71","SLICEL.HFF2","SLICE_X83Y71","SLICEL","CLEL_R_X54Y71","285","174","","X2Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][2][11]","input_mem_reg","FDRE","SLICE_X84Y94","SLICEL.EFF2","SLICE_X84Y94","SLICEL","CLEL_L_X55Y94","286","150","","X2Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][2][12]","input_mem_reg","FDRE","SLICE_X82Y74","SLICEM.DFF2","SLICE_X82Y74","SLICEM","CLEM_X54Y74","283","171","","X2Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][2][13]","input_mem_reg","FDRE","SLICE_X83Y74","SLICEL.HFF2","SLICE_X83Y74","SLICEL","CLEL_R_X54Y74","285","171","","X2Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][2][14]","input_mem_reg","FDRE","SLICE_X83Y71","SLICEL.GFF2","SLICE_X83Y71","SLICEL","CLEL_R_X54Y71","285","174","","X2Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][2][15]","input_mem_reg","FDRE","SLICE_X82Y74","SLICEM.CFF2","SLICE_X82Y74","SLICEM","CLEM_X54Y74","283","171","","X2Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][2][1]","input_mem_reg","FDRE","SLICE_X84Y94","SLICEL.AFF2","SLICE_X84Y94","SLICEL","CLEL_L_X55Y94","286","150","","X2Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][2][2]","input_mem_reg","FDRE","SLICE_X83Y71","SLICEL.FFF2","SLICE_X83Y71","SLICEL","CLEL_R_X54Y71","285","174","","X2Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][2][3]","input_mem_reg","FDRE","SLICE_X82Y74","SLICEM.BFF2","SLICE_X82Y74","SLICEM","CLEM_X54Y74","283","171","","X2Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][2][4]","input_mem_reg","FDRE","SLICE_X85Y79","SLICEL.GFF2","SLICE_X85Y79","SLICEL","CLEL_R_X55Y79","288","166","","X2Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][2][5]","input_mem_reg","FDRE","SLICE_X82Y74","SLICEM.AFF2","SLICE_X82Y74","SLICEM","CLEM_X54Y74","283","171","","X2Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][2][6]","input_mem_reg","FDRE","SLICE_X83Y71","SLICEL.EFF2","SLICE_X83Y71","SLICEL","CLEL_R_X54Y71","285","174","","X2Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][2][7]","input_mem_reg","FDRE","SLICE_X85Y79","SLICEL.FFF2","SLICE_X85Y79","SLICEL","CLEL_R_X55Y79","288","166","","X2Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][2][8]","input_mem_reg","FDRE","SLICE_X83Y74","SLICEL.GFF2","SLICE_X83Y74","SLICEL","CLEL_R_X54Y74","285","171","","X2Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][2][9]","input_mem_reg","FDRE","SLICE_X83Y74","SLICEL.FFF2","SLICE_X83Y74","SLICEL","CLEL_R_X54Y74","285","171","","X2Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][30][0]","input_mem_reg","FDRE","SLICE_X91Y112","SLICEL.HFF2","SLICE_X91Y112","SLICEL","CLEL_R_X59Y112","306","132","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][30][10]","input_mem_reg","FDRE","SLICE_X91Y112","SLICEL.GFF2","SLICE_X91Y112","SLICEL","CLEL_R_X59Y112","306","132","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][30][11]","input_mem_reg","FDRE","SLICE_X90Y110","SLICEM.HFF2","SLICE_X90Y110","SLICEM","CLEM_X59Y110","304","134","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][30][12]","input_mem_reg","FDRE","SLICE_X91Y112","SLICEL.FFF2","SLICE_X91Y112","SLICEL","CLEL_R_X59Y112","306","132","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][30][13]","input_mem_reg","FDRE","SLICE_X91Y112","SLICEL.EFF2","SLICE_X91Y112","SLICEL","CLEL_R_X59Y112","306","132","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][30][14]","input_mem_reg","FDRE","SLICE_X94Y107","SLICEL.HFF2","SLICE_X94Y107","SLICEL","CLEL_R_X61Y107","315","137","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][30][15]","input_mem_reg","FDRE","SLICE_X97Y111","SLICEL.HFF","SLICE_X97Y111","SLICEL","CLEL_R_X63Y111","324","133","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][30][1]","input_mem_reg","FDRE","SLICE_X91Y113","SLICEL.HFF","SLICE_X91Y113","SLICEL","CLEL_R_X59Y113","306","131","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][30][2]","input_mem_reg","FDRE","SLICE_X98Y108","SLICEM.DFF2","SLICE_X98Y108","SLICEM","CLEM_X64Y108","327","136","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][30][3]","input_mem_reg","FDRE","SLICE_X91Y104","SLICEL.HFF2","SLICE_X91Y104","SLICEL","CLEL_R_X59Y104","306","140","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][30][4]","input_mem_reg","FDRE","SLICE_X94Y107","SLICEL.GFF2","SLICE_X94Y107","SLICEL","CLEL_R_X61Y107","315","137","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][30][5]","input_mem_reg","FDRE","SLICE_X94Y107","SLICEL.FFF2","SLICE_X94Y107","SLICEL","CLEL_R_X61Y107","315","137","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][30][6]","input_mem_reg","FDRE","SLICE_X94Y107","SLICEL.EFF2","SLICE_X94Y107","SLICEL","CLEL_R_X61Y107","315","137","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][30][7]","input_mem_reg","FDRE","SLICE_X91Y104","SLICEL.GFF2","SLICE_X91Y104","SLICEL","CLEL_R_X59Y104","306","140","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][30][8]","input_mem_reg","FDRE","SLICE_X95Y108","SLICEM.DFF","SLICE_X95Y108","SLICEM","CLEM_X62Y108","318","136","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][30][9]","input_mem_reg","FDRE","SLICE_X97Y109","SLICEL.HFF","SLICE_X97Y109","SLICEL","CLEL_R_X63Y109","324","135","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][31][0]","input_mem_reg","FDRE","SLICE_X95Y112","SLICEM.GFF2","SLICE_X95Y112","SLICEM","CLEM_X62Y112","318","132","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][31][10]","input_mem_reg","FDRE","SLICE_X97Y111","SLICEL.GFF","SLICE_X97Y111","SLICEL","CLEL_R_X63Y111","324","133","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][31][11]","input_mem_reg","FDRE","SLICE_X97Y111","SLICEL.FFF","SLICE_X97Y111","SLICEL","CLEL_R_X63Y111","324","133","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][31][12]","input_mem_reg","FDRE","SLICE_X95Y112","SLICEM.FFF2","SLICE_X95Y112","SLICEM","CLEM_X62Y112","318","132","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][31][13]","input_mem_reg","FDRE","SLICE_X95Y112","SLICEM.EFF2","SLICE_X95Y112","SLICEM","CLEM_X62Y112","318","132","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][31][14]","input_mem_reg","FDRE","SLICE_X97Y109","SLICEL.GFF","SLICE_X97Y109","SLICEL","CLEL_R_X63Y109","324","135","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][31][15]","input_mem_reg","FDRE","SLICE_X95Y111","SLICEM.FFF","SLICE_X95Y111","SLICEM","CLEM_X62Y111","318","133","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][31][1]","input_mem_reg","FDRE","SLICE_X96Y107","SLICEM.DFF2","SLICE_X96Y107","SLICEM","CLEM_X63Y107","322","137","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][31][2]","input_mem_reg","FDRE","SLICE_X97Y109","SLICEL.FFF","SLICE_X97Y109","SLICEL","CLEL_R_X63Y109","324","135","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][31][3]","input_mem_reg","FDRE","SLICE_X97Y109","SLICEL.EFF","SLICE_X97Y109","SLICEL","CLEL_R_X63Y109","324","135","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][31][4]","input_mem_reg","FDRE","SLICE_X96Y110","SLICEM.HFF2","SLICE_X96Y110","SLICEM","CLEM_X63Y110","322","134","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][31][5]","input_mem_reg","FDRE","SLICE_X96Y110","SLICEM.GFF2","SLICE_X96Y110","SLICEM","CLEM_X63Y110","322","134","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][31][6]","input_mem_reg","FDRE","SLICE_X96Y107","SLICEM.CFF2","SLICE_X96Y107","SLICEM","CLEM_X63Y107","322","137","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][31][7]","input_mem_reg","FDRE","SLICE_X96Y110","SLICEM.FFF2","SLICE_X96Y110","SLICEM","CLEM_X63Y110","322","134","","X3Y1",""
"u_dut/u_unified_p4_kernel/input_mem_reg[2][31][8]","input_mem_reg","FDRE","SLICE_X96Y110","SLICEM.EFF2","SLICE_X96Y110","SLICEM","CLEM_X63Y110","322","134","","X3Y1",""
