"normalized_structural_signature","occurrence_count","tns_ns","tns_share","worst_violation_ns","median_violation_ns","p90_violation_ns","p99_violation_ns"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT5>LUT3>LUT5>LUT6>LUT6|FDCE","2","-0.134000000","0.001808514","0.085000000","0.049000000","0.085000000","0.085000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT5>LUT4|FDRE","2","-0.012000000","0.000161956","0.006000000","0.006000000","0.006000000","0.006000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT5>LUT5|FDRE","250","-8.798000000","0.118741059","0.113000000","0.029000000","0.076000000","0.113000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT5>LUT6>LUT6>LUT6|FDCE","1","-0.022000000","0.000296920","0.022000000","0.022000000","0.022000000","0.022000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT5>LUT6|FDRE","1","-0.028000000","0.000377898","0.028000000","0.028000000","0.028000000","0.028000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT5|DSP_A_B_DATA","1","-0.028000000","0.000377898","0.028000000","0.028000000","0.028000000","0.028000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT5|FDCE","1","-0.080000000","0.001079710","0.080000000","0.080000000","0.080000000","0.080000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT5|FDRE","11","-0.134000000","0.001808514","0.015000000","0.014000000","0.015000000","0.015000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT5|RAMD64E","104","-3.876000000","0.052311928","0.086000000","0.026000000","0.071000000","0.086000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT2>LUT6|FDCE","43","-1.926000000","0.025994008","0.128000000","0.046000000","0.072000000","0.128000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT2|FDCE","3","-0.079000000","0.001066213","0.045000000","0.023000000","0.045000000","0.045000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT3>LUT5>LUT4|FDCE","4","-0.084000000","0.001133695","0.040000000","0.002000000","0.040000000","0.040000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT3|RAMD64E","48","-2.088000000","0.028180419","0.085000000","0.040000000","0.085000000","0.085000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT4>CARRY8>LUT5>LUT3|FDCE","3","-0.202000000","0.002726267","0.092000000","0.064000000","0.092000000","0.092000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT4>CARRY8>LUT5>LUT5|FDCE","1","-0.088000000","0.001187681","0.088000000","0.088000000","0.088000000","0.088000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT4>CARRY8>LUT6>LUT3>LUT3|FDCE","1","-0.039000000","0.000526358","0.039000000","0.039000000","0.039000000","0.039000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT4>CARRY8>LUT6>LUT3>LUT4|FDCE","5","-0.551000000","0.007436500","0.111000000","0.111000000","0.111000000","0.111000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT4>CARRY8>LUT6>LUT3>LUT6|FDCE","1","-0.086000000","0.001160688","0.086000000","0.086000000","0.086000000","0.086000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT4>CARRY8>LUT6>LUT6>LUT6|FDCE","4","-0.319000000","0.004305342","0.093000000","0.073000000","0.093000000","0.093000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT4>CARRY8>LUT6>LUT6|FDCE","3","-0.172000000","0.002321376","0.091000000","0.055000000","0.091000000","0.091000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT4>CARRY8>LUT6|FDCE","6","-0.100000000","0.001349637","0.036000000","0.014000000","0.036000000","0.036000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT4|FDRE","3","-0.006000000","0.000080978","0.002000000","0.002000000","0.002000000","0.002000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT5>LUT6>LUT4>LUT6|FDCE","2","-0.163000000","0.002199908","0.084000000","0.079000000","0.084000000","0.084000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT5>LUT6>LUT5|FDCE","1","-0.025000000","0.000337409","0.025000000","0.025000000","0.025000000","0.025000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT5>LUT6>LUT6>LUT6|FDCE","24","-1.515000000","0.020447000","0.131000000","0.048000000","0.124000000","0.131000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT5|FDCE","1","-0.044000000","0.000593840","0.044000000","0.044000000","0.044000000","0.044000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT6>LUT5>LUT6>LUT4|FDCE","2","-0.082000000","0.001106702","0.071000000","0.011000000","0.071000000","0.071000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT6>LUT5>LUT6>LUT5|FDCE","1","-0.049000000","0.000661322","0.049000000","0.049000000","0.049000000","0.049000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT6>LUT5>LUT6>LUT6|FDCE","2","-0.132000000","0.001781521","0.082000000","0.050000000","0.082000000","0.082000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT6>LUT6>LUT2>LUT2|FDCE","2","-0.077000000","0.001039220","0.053000000","0.024000000","0.053000000","0.053000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT6>LUT6>LUT2>LUT5|FDCE","3","-0.120000000","0.001619564","0.049000000","0.049000000","0.049000000","0.049000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT6>LUT6>LUT3>LUT5>LUT4>LUT6|FDCE","1","-0.006000000","0.000080978","0.006000000","0.006000000","0.006000000","0.006000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT6>LUT6>LUT3>LUT5>LUT5|FDCE","3","-0.150000000","0.002024455","0.050000000","0.050000000","0.050000000","0.050000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT6>LUT6>LUT3>LUT5>LUT6>LUT6|FDCE","4","-0.260000000","0.003509056","0.066000000","0.064000000","0.066000000","0.066000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT6>LUT6>LUT3>LUT6>LUT5>LUT6|FDCE","1","-0.007000000","0.000094475","0.007000000","0.007000000","0.007000000","0.007000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT6>LUT6>LUT3>LUT6>LUT6>LUT6|FDCE","4","-0.133000000","0.001795017","0.036000000","0.036000000","0.036000000","0.036000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT6>LUT6>LUT3>LUT6|FDCE","27","-1.180000000","0.015925716","0.087000000","0.037000000","0.082000000","0.087000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT6>LUT6|DSP_A_B_DATA","1","-0.023000000","0.000310416","0.023000000","0.023000000","0.023000000","0.023000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT6>LUT6|FDRE","1","-0.054000000","0.000728804","0.054000000","0.054000000","0.054000000","0.054000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT6|FDCE","7","-0.204000000","0.002753259","0.087000000","0.018000000","0.087000000","0.087000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>LUT6|FDRE","10","-0.408000000","0.005506519","0.103000000","0.034000000","0.075000000","0.103000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>MUXF7>LUT3>LUT6>LUT3>LUT6>LUT6|FDRE","5","-0.430000000","0.005803439","0.119000000","0.098000000","0.119000000","0.119000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>MUXF7>LUT3>LUT6>LUT6|FDRE","29","-2.279000000","0.030758226","0.132000000","0.083000000","0.119000000","0.132000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>MUXF7>LUT6>LUT6>LUT6|FDRE","5","-0.467000000","0.006302805","0.136000000","0.091000000","0.136000000","0.136000000"
