"endpoint","startpoint","slack","path_group","launch_clock","capture_clock","start_cell","start_ref","start_hierarchy","end_cell","end_ref","end_hierarchy","logic_levels","logic_delay_ns","routing_delay_ns","datapath_delay_ns","routing_fraction","start_loc","end_loc","start_clock_region","end_clock_region","raw_structural_signature","normalized_structural_signature","classification_bucket","source_family","endpoint_family","violation_magnitude_ns"
"sink_it_data_out_q_reg[6]/D","u_dut/output_index_reg[1]_replica_5/C","-0.070000000","clk","clk","clk","u_dut/output_index_reg[1]_replica_5","FDCE","u_dut/output_index_reg_replica_5","sink_it_data_out_q_reg[6]","FDCE","sink_it_data_out_q_reg","5","0.442000000","1.421000000","1.863000000","0.762748256","SLICE_X63Y121","SLICE_X60Y116","","","u_dut/output_index_reg[1]_replica_5|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE|sink_it_data_out_q_reg[6]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_5","harness/sink_boundary","0.070000000"
"sink_it_data_out_q_reg[8]/D","u_dut/output_index_reg[2]_replica_4/C","-0.034000000","clk","clk","clk","u_dut/output_index_reg[2]_replica_4","FDCE","u_dut/output_index_reg_replica_4","sink_it_data_out_q_reg[8]","FDCE","sink_it_data_out_q_reg","5","0.482000000","1.424000000","1.906000000","0.747114376","SLICE_X63Y108","SLICE_X60Y98","","","u_dut/output_index_reg[2]_replica_4|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE|sink_it_data_out_q_reg[8]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_4","harness/sink_boundary","0.034000000"
"u_dut/desc_count_reg[0]/CE","src_it_info_q_reg[7]/C","-0.036000000","clk","clk","clk","src_it_info_q_reg[7]","FDCE","src_it_info_q_reg","u_dut/desc_count_reg[0]","FDCE","u_dut/desc_count_reg","5","0.547000000","1.275000000","1.822000000","0.699780461","SLICE_X63Y130","SLICE_X61Y144","","","src_it_info_q_reg[7]|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT6>LUT6>LUT6>LUT4|FDCE|u_dut/desc_count_reg[0]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT6>LUT6>LUT6>LUT4|FDCE","SOURCE_BOUNDARY_TO_DUT","harness/source_boundary","u_dut/desc_count_reg","0.036000000"
"u_dut/desc_count_reg[1]/CE","src_it_info_q_reg[7]/C","-0.051000000","clk","clk","clk","src_it_info_q_reg[7]","FDCE","src_it_info_q_reg","u_dut/desc_count_reg[1]","FDCE","u_dut/desc_count_reg","5","0.547000000","1.292000000","1.839000000","0.702555737","SLICE_X63Y130","SLICE_X61Y143","","","src_it_info_q_reg[7]|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT6>LUT6>LUT6>LUT4|FDCE|u_dut/desc_count_reg[1]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT6>LUT6>LUT6>LUT4|FDCE","SOURCE_BOUNDARY_TO_DUT","harness/source_boundary","u_dut/desc_count_reg","0.051000000"
"u_dut/desc_mem_reg[0][2]/CE","src_it_info_q_reg[7]/C","-0.018000000","clk","clk","clk","src_it_info_q_reg[7]","FDCE","src_it_info_q_reg","u_dut/desc_mem_reg[0][2]","FDRE","u_dut/desc_mem_reg","5","0.547000000","1.261000000","1.808000000","0.697455752","SLICE_X63Y130","SLICE_X57Y140","","","src_it_info_q_reg[7]|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT6>LUT6>LUT6>LUT6|FDRE|u_dut/desc_mem_reg[0][2]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT6>LUT6>LUT6>LUT6|FDRE","SOURCE_BOUNDARY_TO_DUT","harness/source_boundary","u_dut/desc_mem_reg","0.018000000"
"u_dut/desc_mem_reg[0][3]/CE","src_it_info_q_reg[7]/C","-0.018000000","clk","clk","clk","src_it_info_q_reg[7]","FDCE","src_it_info_q_reg","u_dut/desc_mem_reg[0][3]","FDRE","u_dut/desc_mem_reg","5","0.547000000","1.261000000","1.808000000","0.697455752","SLICE_X63Y130","SLICE_X57Y140","","","src_it_info_q_reg[7]|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT6>LUT6>LUT6>LUT6|FDRE|u_dut/desc_mem_reg[0][3]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT6>LUT6>LUT6>LUT6|FDRE","SOURCE_BOUNDARY_TO_DUT","harness/source_boundary","u_dut/desc_mem_reg","0.018000000"
"u_dut/desc_mem_reg[1][10]/CE","src_it_info_q_reg[7]/C","-0.058000000","clk","clk","clk","src_it_info_q_reg[7]","FDCE","src_it_info_q_reg","u_dut/desc_mem_reg[1][10]","FDRE","u_dut/desc_mem_reg","5","0.545000000","1.303000000","1.848000000","0.705086580","SLICE_X63Y130","SLICE_X57Y140","","","src_it_info_q_reg[7]|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT6>LUT6>LUT6>LUT6|FDRE|u_dut/desc_mem_reg[1][10]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT6>LUT6>LUT6>LUT6|FDRE","SOURCE_BOUNDARY_TO_DUT","harness/source_boundary","u_dut/desc_mem_reg","0.058000000"
"u_dut/desc_mem_reg[1][3]/CE","src_it_info_q_reg[7]/C","-0.010000000","clk","clk","clk","src_it_info_q_reg[7]","FDCE","src_it_info_q_reg","u_dut/desc_mem_reg[1][3]","FDRE","u_dut/desc_mem_reg","5","0.545000000","1.259000000","1.804000000","0.697893570","SLICE_X63Y130","SLICE_X59Y139","","","src_it_info_q_reg[7]|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT6>LUT6>LUT6>LUT6|FDRE|u_dut/desc_mem_reg[1][3]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT6>LUT6>LUT6>LUT6|FDRE","SOURCE_BOUNDARY_TO_DUT","harness/source_boundary","u_dut/desc_mem_reg","0.010000000"
"u_dut/desc_mem_reg[1][4]/CE","src_it_info_q_reg[7]/C","-0.010000000","clk","clk","clk","src_it_info_q_reg[7]","FDCE","src_it_info_q_reg","u_dut/desc_mem_reg[1][4]","FDRE","u_dut/desc_mem_reg","5","0.545000000","1.259000000","1.804000000","0.697893570","SLICE_X63Y130","SLICE_X59Y139","","","src_it_info_q_reg[7]|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT6>LUT6>LUT6>LUT6|FDRE|u_dut/desc_mem_reg[1][4]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT6>LUT6>LUT6>LUT6|FDRE","SOURCE_BOUNDARY_TO_DUT","harness/source_boundary","u_dut/desc_mem_reg","0.010000000"
"u_dut/desc_mem_reg[1][5]/CE","src_it_info_q_reg[7]/C","-0.010000000","clk","clk","clk","src_it_info_q_reg[7]","FDCE","src_it_info_q_reg","u_dut/desc_mem_reg[1][5]","FDRE","u_dut/desc_mem_reg","5","0.545000000","1.259000000","1.804000000","0.697893570","SLICE_X63Y130","SLICE_X59Y139","","","src_it_info_q_reg[7]|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT6>LUT6>LUT6>LUT6|FDRE|u_dut/desc_mem_reg[1][5]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT4>LUT6>LUT6>LUT6>LUT6|FDRE","SOURCE_BOUNDARY_TO_DUT","harness/source_boundary","u_dut/desc_mem_reg","0.010000000"
