"endpoint","startpoint","slack","path_group","launch_clock","capture_clock","start_cell","start_ref","start_hierarchy","end_cell","end_ref","end_hierarchy","logic_levels","logic_delay_ns","routing_delay_ns","datapath_delay_ns","routing_fraction","start_loc","end_loc","start_clock_region","end_clock_region","raw_structural_signature","normalized_structural_signature","classification_bucket","source_family","endpoint_family","violation_magnitude_ns"
"sink_it_data_out_q_reg[3]/D","u_dut/output_index_reg[0]_replica_5/C","-0.018000000","clk","clk","clk","u_dut/output_index_reg[0]_replica_5","FDCE","u_dut/output_index_reg_replica_5","sink_it_data_out_q_reg[3]","FDCE","sink_it_data_out_q_reg","5","0.523000000","1.357000000","1.880000000","0.721808511","SLICE_X86Y80","SLICE_X84Y84","","","SIGNATURE_SKIPPED|FDCE|FDCE","SIGNATURE_SKIPPED|FDCE|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_5","harness/sink_boundary","0.018000000"
"sink_it_data_out_q_reg[7]/D","u_dut/output_index_reg[1]_replica/C","-0.043000000","clk","clk","clk","u_dut/output_index_reg[1]_replica","FDCE","u_dut/output_index_reg_replica","sink_it_data_out_q_reg[7]","FDCE","sink_it_data_out_q_reg","5","0.528000000","1.454000000","1.982000000","0.733602422","SLICE_X84Y85","SLICE_X85Y83","","","SIGNATURE_SKIPPED|FDCE|FDCE","SIGNATURE_SKIPPED|FDCE|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica","harness/sink_boundary","0.043000000"
"sink_it_data_out_q_reg[8]/D","u_dut/output_index_reg[1]_replica/C","-0.069000000","clk","clk","clk","u_dut/output_index_reg[1]_replica","FDCE","u_dut/output_index_reg_replica","sink_it_data_out_q_reg[8]","FDCE","sink_it_data_out_q_reg","5","0.489000000","1.520000000","2.009000000","0.756595321","SLICE_X84Y85","SLICE_X84Y83","","","SIGNATURE_SKIPPED|FDCE|FDCE","SIGNATURE_SKIPPED|FDCE|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica","harness/sink_boundary","0.069000000"
"sink_it_data_out_q_reg[9]/D","u_dut/output_index_reg[0]_replica_5/C","-0.104000000","clk","clk","clk","u_dut/output_index_reg[0]_replica_5","FDCE","u_dut/output_index_reg_replica_5","sink_it_data_out_q_reg[9]","FDCE","sink_it_data_out_q_reg","5","0.512000000","1.456000000","1.968000000","0.739837398","SLICE_X86Y80","SLICE_X84Y83","","","SIGNATURE_SKIPPED|FDCE|FDCE","SIGNATURE_SKIPPED|FDCE|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_5","harness/sink_boundary","0.104000000"
"u_dut/fill_wr_bank_addr_q_reg[0][1][3]/D","u_dut/fill_active_reg/C","-0.024000000","clk","clk","clk","u_dut/fill_active_reg","FDCE","u_dut/fill_active_reg","u_dut/fill_wr_bank_addr_q_reg[0][1][3]","FDCE","u_dut/fill_wr_bank_addr_q_reg","4","0.428000000","1.518000000","1.946000000","0.780061665","SLICE_X69Y75","SLICE_X65Y62","","","SIGNATURE_SKIPPED|FDCE|FDCE","SIGNATURE_SKIPPED|FDCE|FDCE","DUT_INTERNAL","u_dut/fill_active_reg","u_dut/fill_wr_bank_addr_q_reg","0.024000000"
"u_dut/fill_wr_bank_addr_q_reg[0][1][5]/D","u_dut/fill_slot_reg/C","-0.024000000","clk","clk","clk","u_dut/fill_slot_reg","FDCE","u_dut/fill_slot_reg","u_dut/fill_wr_bank_addr_q_reg[0][1][5]","FDCE","u_dut/fill_wr_bank_addr_q_reg","5","0.549000000","1.368000000","1.917000000","0.713615023","SLICE_X71Y83","SLICE_X65Y61","","","SIGNATURE_SKIPPED|FDCE|FDCE","SIGNATURE_SKIPPED|FDCE|FDCE","DUT_INTERNAL","u_dut/fill_slot_reg","u_dut/fill_wr_bank_addr_q_reg","0.024000000"
"u_dut/fill_wr_bank_addr_q_reg[1][1][3]/D","u_dut/fill_active_reg/C","-0.024000000","clk","clk","clk","u_dut/fill_active_reg","FDCE","u_dut/fill_active_reg","u_dut/fill_wr_bank_addr_q_reg[1][1][3]","FDCE","u_dut/fill_wr_bank_addr_q_reg","4","0.428000000","1.518000000","1.946000000","0.780061665","SLICE_X69Y75","SLICE_X65Y62","","","SIGNATURE_SKIPPED|FDCE|FDCE","SIGNATURE_SKIPPED|FDCE|FDCE","DUT_INTERNAL","u_dut/fill_active_reg","u_dut/fill_wr_bank_addr_q_reg","0.024000000"
"u_dut/gen_input_slots[1].gen_input_banks[0].u_input_cache_bank/data_mem_reg_256_319_7_13/RAMA/WADR5","u_dut/fill_wr_bank_addr_q_reg[1][0][5]/C","-0.035000000","clk","clk","clk","u_dut/fill_wr_bank_addr_q_reg[1][0][5]","FDCE","u_dut/fill_wr_bank_addr_q_reg","u_dut/gen_input_slots[1].gen_input_banks[0].u_input_cache_bank/data_mem_reg_256_319_7_13/RAMA","RAMD64E","u_dut/gen_input_slots.gen_input_banks.u_input_cache_bank/data_mem_reg_256_319_7_13/RAMA","0","0.080000000","1.728000000","1.808000000","0.955752212","SLICE_X68Y72","SLICE_X71Y20","","","SIGNATURE_SKIPPED|FDCE|RAMD64E","SIGNATURE_SKIPPED|FDCE|RAMD64E","DUT_INTERNAL","u_dut/fill_wr_bank_addr_q_reg","u_dut/input_cache_bank","0.035000000"
"u_dut/gen_input_slots[1].gen_input_banks[0].u_input_cache_bank/data_mem_reg_256_319_7_13/RAMB/WADR5","u_dut/fill_wr_bank_addr_q_reg[1][0][5]/C","-0.035000000","clk","clk","clk","u_dut/fill_wr_bank_addr_q_reg[1][0][5]","FDCE","u_dut/fill_wr_bank_addr_q_reg","u_dut/gen_input_slots[1].gen_input_banks[0].u_input_cache_bank/data_mem_reg_256_319_7_13/RAMB","RAMD64E","u_dut/gen_input_slots.gen_input_banks.u_input_cache_bank/data_mem_reg_256_319_7_13/RAMB","0","0.080000000","1.728000000","1.808000000","0.955752212","SLICE_X68Y72","SLICE_X71Y20","","","SIGNATURE_SKIPPED|FDCE|RAMD64E","SIGNATURE_SKIPPED|FDCE|RAMD64E","DUT_INTERNAL","u_dut/fill_wr_bank_addr_q_reg","u_dut/input_cache_bank","0.035000000"
"u_dut/gen_input_slots[1].gen_input_banks[0].u_input_cache_bank/data_mem_reg_256_319_7_13/RAMC/WADR5","u_dut/fill_wr_bank_addr_q_reg[1][0][5]/C","-0.035000000","clk","clk","clk","u_dut/fill_wr_bank_addr_q_reg[1][0][5]","FDCE","u_dut/fill_wr_bank_addr_q_reg","u_dut/gen_input_slots[1].gen_input_banks[0].u_input_cache_bank/data_mem_reg_256_319_7_13/RAMC","RAMD64E","u_dut/gen_input_slots.gen_input_banks.u_input_cache_bank/data_mem_reg_256_319_7_13/RAMC","0","0.080000000","1.728000000","1.808000000","0.955752212","SLICE_X68Y72","SLICE_X71Y20","","","SIGNATURE_SKIPPED|FDCE|RAMD64E","SIGNATURE_SKIPPED|FDCE|RAMD64E","DUT_INTERNAL","u_dut/fill_wr_bank_addr_q_reg","u_dut/input_cache_bank","0.035000000"
