index,slack,datapath_delay,logic_levels,startpoint,endpoint
5124,-0.115,2.012,1,capture_pending_reg/C,final10_mem_reg[0][37][4]/CE
5125,-0.115,2.012,1,capture_pending_reg/C,final10_mem_reg[0][37][5]/CE
5126,-0.115,2.012,1,capture_pending_reg/C,stage16_mem_reg[0][9][10]/CE
5127,-0.115,2.012,1,capture_pending_reg/C,stage16_mem_reg[0][9][11]/CE
5128,-0.115,2.012,1,capture_pending_reg/C,stage16_mem_reg[0][9][12]/CE
5129,-0.115,2.012,1,capture_pending_reg/C,stage16_mem_reg[0][9][13]/CE
5130,-0.115,2.012,1,capture_pending_reg/C,stage16_mem_reg[0][61][14]/CE
5131,-0.115,2.012,1,capture_pending_reg/C,stage16_mem_reg[0][61][15]/CE
5132,-0.115,2.095,7,bf_cycle_reg[0]/C,signal_reg_reg[23][20]/D
5133,-0.115,2.095,7,bf_cycle_reg[0]/C,signal_reg_reg[38][20]/D
5134,-0.115,2.095,4,bf_cycle_reg[5]/C,signal_reg_reg[51][3]/D
5135,-0.115,2.095,3,bf_cycle_reg[2]/C,signal_reg_reg[66][3]/D
5136,-0.115,2.095,7,bf_cycle_reg[2]/C,signal_reg_reg[41][18]/D
5137,-0.115,2.096,3,bf_cycle_reg[5]/C,signal_reg_reg[54][2]/D
5138,-0.115,2.095,4,bf_cycle_reg[3]/C,signal_reg_reg[22][4]/D
5139,-0.115,2.095,4,bf_cycle_reg[3]/C,signal_reg_reg[49][4]/D
5140,-0.115,2.094,6,bf_cycle_reg[2]/C,signal_reg_reg[100][20]/D
5141,-0.115,2.094,6,bf_cycle_reg[2]/C,signal_reg_reg[104][20]/D
5142,-0.115,2.094,6,bf_cycle_reg[1]/C,signal_reg_reg[24][22]/D
5143,-0.114,2.096,7,operand_x_reg_reg[46][0]/C,lane_product_reg_reg[46][0]/D
5144,-0.114,2.095,7,operand_coeff_reg_reg[59][3]/C,lane_product_reg_reg[59][2]/D
5145,-0.114,2.009,2,red_active_reg/C,red_s0_data_reg[39][12]/CE
5146,-0.114,2.009,2,red_active_reg/C,red_s0_data_reg[39][13]/CE
5147,-0.114,2.009,2,red_active_reg/C,red_s0_data_reg[39][14]/CE
5148,-0.114,2.009,2,red_active_reg/C,red_s0_data_reg[39][15]/CE
5149,-0.114,2.094,3,bf_cycle_reg[2]/C,signal_reg_reg[82][3]/D
5150,-0.114,2.094,3,bf_cycle_reg[5]/C,signal_reg_reg[25][5]/D
5151,-0.114,2.095,1,sched_valid_reg_reg[0]_rep__0/C,operand_x_reg_reg[34][1]/D
5152,-0.114,2.095,1,sched_src_sel_reg_reg[88][0]_rep__2/C,operand_x_reg_reg[115][11]/D
5153,-0.114,2.095,7,bf_cycle_reg[1]/C,signal_reg_reg[103][20]/D
5154,-0.114,2.095,7,bf_cycle_reg[1]/C,signal_reg_reg[107][20]/D
