"bucket","source_family","endpoint_family","endpoint_count","tns_ns","tns_share","worst_violation_ns","median_violation_ns","p90_violation_ns","p99_violation_ns"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg","u_dut/vwrite_cmd_data_q_reg","3","-0.085000000","0.014249790","0.047000000","0.021000000","0.047000000","0.047000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/fifo_wr_ptr_q_reg","u_dut/u_unified_p4_kernel/fifo_data_q_reg","1","-0.001000000","0.000167645","0.001000000","0.001000000","0.001000000","0.001000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/ingress_data_q_reg","u_dut/u_unified_p4_kernel/input_mem_reg","8","-0.143000000","0.023973177","0.047000000","0.008000000","0.047000000","0.047000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/ingress_group_q_reg","u_dut/u_unified_p4_kernel/input_mem_reg","8","-0.036000000","0.006035205","0.005000000","0.004000000","0.005000000","0.005000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_rep__0","u_dut/u_unified_p4_kernel/product_q_reg_i_4_psdsp","1","-0.005000000","0.000838223","0.005000000","0.005000000","0.005000000","0.005000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_rep__13","u_dut/u_unified_p4_kernel/product_q_reg_i_1_psdsp","1","-0.033000000","0.005532272","0.033000000","0.033000000","0.033000000","0.033000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_rep__8","u_dut/u_unified_p4_kernel/product_q_reg_i_4_psdsp","1","-0.015000000","0.002514669","0.015000000","0.015000000","0.015000000","0.015000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/pipe_out_data_q_reg","u_dut/u_unified_p4_kernel/fifo_data_q_reg","1","-0.002000000","0.000335289","0.002000000","0.002000000","0.002000000","0.002000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/ready_count_q_reg","u_dut/u_unified_p4_kernel/issue_desc_active_size_q_reg","1","-0.009000000","0.001508801","0.009000000","0.009000000","0.009000000","0.009000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/ready_fifo_mem_reg","u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg","1","-0.013000000","0.002179380","0.013000000","0.013000000","0.013000000","0.013000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/ready_fifo_mem_reg","u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_rep__10","1","-0.009000000","0.001508801","0.009000000","0.009000000","0.009000000","0.009000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/ready_fifo_mem_reg","u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_rep__5","1","-0.002000000","0.000335289","0.002000000","0.002000000","0.002000000","0.002000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/ready_fifo_mem_reg","u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_rep__7","1","-0.027000000","0.004526404","0.027000000","0.027000000","0.027000000","0.027000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/ready_fifo_mem_reg","u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_rep__8","1","-0.018000000","0.003017603","0.018000000","0.018000000","0.018000000","0.018000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/ready_fifo_mem_reg","u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_rep__9","2","-0.005000000","0.000838223","0.004000000","0.001000000","0.004000000","0.004000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/ready_fifo_mem_reg","u_dut/u_unified_p4_kernel/slot_state_q_reg","1","-0.044000000","0.007376362","0.044000000","0.044000000","0.044000000","0.044000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/reduce_l4_q_reg","u_dut/u_unified_p4_kernel/reduce_l5_q_reg","8","-0.107000000","0.017937972","0.026000000","0.011000000","0.026000000","0.026000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/reserved_groups_q_reg","u_dut/kernel_h_rd_data_q_reg","1","-0.011000000","0.001844091","0.011000000","0.011000000","0.011000000","0.011000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/reserved_groups_q_reg","u_dut/kernel_h_rd_data_tail_q_reg","1","-0.005000000","0.000838223","0.005000000","0.005000000","0.005000000","0.005000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/reserved_groups_q_reg","u_dut/lfnst_gather_index_q_reg","3","-0.016000000","0.002682313","0.008000000","0.005000000","0.008000000","0.008000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/reserved_groups_q_reg","u_dut/lfnst_tail_index_q_reg","4","-0.110000000","0.018440905","0.045000000","0.010000000","0.045000000","0.045000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/reserved_groups_q_reg","u_dut/lfnst_tail_q_reg","1","-0.038000000","0.006370495","0.038000000","0.038000000","0.038000000","0.038000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/reserved_groups_q_reg","u_dut/rd_cmd_addr_q_reg","1","-0.005000000","0.000838223","0.005000000","0.005000000","0.005000000","0.005000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/reserved_groups_q_reg","u_dut/rd_cmd_addr_q_reg_replica_1","1","-0.016000000","0.002682313","0.016000000","0.016000000","0.016000000","0.016000000"
"DUT_INTERNAL","u_dut/vwrite_cmd_valid_q_reg","u_dut/kernel_rd_req_pending_q_reg","1","-0.013000000","0.002179380","0.013000000","0.013000000","0.013000000","0.013000000"
"DUT_INTERNAL","u_dut/vwrite_cmd_valid_q_reg","u_dut/temp_bank","8","-0.056000000","0.009388097","0.007000000","0.007000000","0.007000000","0.007000000"
"DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_1","harness/sink_boundary","1","-0.012000000","0.002011735","0.012000000","0.012000000","0.012000000","0.012000000"
"DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_2","harness/sink_boundary","2","-0.056000000","0.009388097","0.032000000","0.024000000","0.032000000","0.032000000"
"DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_5","harness/sink_boundary","1","-0.002000000","0.000335289","0.002000000","0.002000000","0.002000000","0.002000000"
"DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica","harness/sink_boundary","1","-0.002000000","0.000335289","0.002000000","0.002000000","0.002000000","0.002000000"
"RESET_RELATED_SETUP","harness/reset","u_dut/u_unified_p4_kernel/input_mem_reg","2","-0.022000000","0.003688181","0.012000000","0.010000000","0.012000000","0.012000000"
"SOURCE_BOUNDARY_TO_DUT","harness/source_boundary","u_dut/desc_mem_reg","6","-0.016000000","0.002682313","0.003000000","0.003000000","0.003000000","0.003000000"
