index,slack,datapath_delay,logic_levels,startpoint,endpoint
577,-0.680,2.662,5,vector_buf_b_reg[8][0]/C,operand_x_reg_reg[26][0]/D
578,-0.680,2.660,7,bf_cycle_reg[5]/C,signal_reg_reg[121][19]/D
579,-0.680,2.661,1,issue_active_reg/C,sched_coeff_reg_reg[102][2]/D
580,-0.680,2.660,7,bf_cycle_reg[1]/C,signal_reg_reg[47][17]/D
581,-0.680,2.660,1,issue_cycle_reg[1]_rep__3/C,sched_coeff_reg_reg[11][7]/D
582,-0.680,2.660,5,vector_buf_b_reg[21][7]/C,operand_x_reg_reg[47][7]/D
583,-0.679,2.660,7,operand_coeff_reg_reg[118][2]/C,lane_product_reg_reg[118][10]/D
584,-0.679,2.661,5,vector_buf_a_reg[33][2]/C,operand_x_reg_reg[44][2]/D
585,-0.679,2.659,7,bf_cycle_reg[1]/C,signal_reg_reg[91][20]/D
586,-0.679,2.659,2,sched_valid_reg_reg[40]/C,operand_x_reg_reg[60][7]/D
587,-0.679,2.659,5,vector_buf_a_reg[26][2]/C,operand_x_reg_reg[53][2]/D
588,-0.679,2.659,1,issue_cycle_reg[1]_rep__0/C,sched_coeff_reg_reg[63][4]/D
589,-0.679,2.659,5,vector_buf_b_reg[35][2]/C,operand_x_reg_reg[78][2]/D
590,-0.679,2.660,7,operand_x_reg_reg[45][15]/C,lane_product_reg_reg[45][21]/D
591,-0.679,2.659,5,vector_buf_a_reg[41][2]/C,operand_x_reg_reg[59][2]/D
592,-0.678,2.659,6,bf_cycle_reg[0]/C,signal_reg_reg[22][14]/D
593,-0.678,2.659,7,operand_x_reg_reg[74][0]/C,lane_product_reg_reg[74][5]/D
594,-0.678,2.658,3,vector_buf_b_reg[17][12]/C,operand_x_reg_reg[120][12]/D
595,-0.678,2.659,5,vector_buf_a_reg[29][5]/C,operand_x_reg_reg[53][5]/D
596,-0.678,2.658,4,sched_src_reg_reg[40][2]_rep__0/C,operand_x_reg_reg[57][9]/D
597,-0.678,2.657,1,issue_cycle_reg[0]_rep/C,sched_src_reg_reg[46][4]_rep__7/D
598,-0.677,2.658,6,bf_cycle_reg[0]/C,signal_reg_reg[49][14]/D
599,-0.677,2.658,6,bf_cycle_reg[0]/C,signal_reg_reg[66][12]/D
600,-0.677,2.658,6,bf_cycle_reg[0]/C,signal_reg_reg[82][12]/D
601,-0.677,2.658,2,sched_src_reg_reg[46][1]_rep__4/C,operand_x_reg_reg[111][13]/D
602,-0.677,2.657,1,sched_bank_reg_reg[0]_rep__3/C,operand_x_reg_reg[1][5]/D
603,-0.677,2.658,7,operand_x_reg_reg[105][3]/C,lane_product_reg_reg[105][16]/D
604,-0.677,2.660,7,operand_x_reg_reg[106][6]/C,lane_product_reg_reg[106][20]/D
605,-0.677,2.658,7,operand_x_reg_reg[58][6]/C,lane_product_reg_reg[58][13]/D
606,-0.677,2.658,1,issue_active_reg/C,sched_coeff_reg_reg[97][2]/D
607,-0.677,2.657,7,bf_cycle_reg[0]/C,signal_reg_reg[71][13]/D
608,-0.677,2.656,4,vector_buf_b_reg[2][1]/C,operand_x_reg_reg[102][1]/D
609,-0.677,2.657,3,sched_src_reg_reg[46][4]_rep__3/C,operand_x_reg_reg[15][2]/D
610,-0.677,2.657,5,vector_buf_b_reg[14][0]/C,operand_x_reg_reg[39][0]/D
611,-0.676,2.657,7,operand_x_reg_reg[43][1]/C,lane_product_reg_reg[43][7]/D
612,-0.676,2.659,7,operand_x_reg_reg[59][5]/C,lane_product_reg_reg[59][15]/D
613,-0.676,2.657,5,vector_buf_a_reg[54][5]/C,operand_x_reg_reg[57][5]/D
614,-0.676,2.656,4,vector_buf_b_reg[4][11]/C,operand_x_reg_reg[35][11]/D
615,-0.676,2.657,5,vector_buf_b_reg[31][8]/C,operand_x_reg_reg[78][8]/D
616,-0.676,2.656,7,bf_cycle_reg[5]/C,signal_reg_reg[93][15]/D
617,-0.676,2.657,7,operand_x_reg_reg[121][15]/C,lane_product_reg_reg[121][21]/D
618,-0.676,2.656,1,issue_active_reg_rep__0/C,sched_src_reg_reg[46][1]_rep__3/D
619,-0.676,2.656,1,issue_active_reg_rep__0/C,sched_coeff_reg_reg[120][5]/D
620,-0.676,2.657,1,issue_active_reg_rep__0/C,sched_src_reg_reg[46][1]_rep__29/D
621,-0.675,2.656,7,operand_coeff_reg_reg[118][2]/C,lane_product_reg_reg[118][9]/D
622,-0.675,2.572,1,red_cycle_reg[1]/C,red_s0_data_reg[44][20]/CE
623,-0.675,2.572,1,red_cycle_reg[1]/C,red_s0_data_reg[44][21]/CE
624,-0.675,2.572,1,red_cycle_reg[1]/C,red_s0_data_reg[44][22]/CE
625,-0.675,2.572,1,red_cycle_reg[1]/C,red_s0_data_reg[44][23]/CE
626,-0.675,2.656,3,sched_src_reg_reg[5][1]/C,operand_x_reg_reg[33][10]/D
627,-0.675,2.656,1,issue_active_reg_rep__0/C,sched_src_reg_reg[46][2]_rep/D
628,-0.675,2.656,1,issue_cycle_reg[1]_rep__0/C,sched_coeff_reg_reg[91][3]/D
629,-0.675,2.658,7,operand_x_reg_reg[63][15]/C,lane_product_reg_reg[63][15]/D
630,-0.675,2.654,7,bf_cycle_reg[5]/C,signal_reg_reg[93][20]/D
631,-0.675,2.656,7,operand_x_reg_reg[38][15]/C,lane_product_reg_reg[38][17]/D
632,-0.675,2.655,2,sched_src_reg_reg[25][3]_rep__0/C,operand_x_reg_reg[82][6]/D
633,-0.675,2.654,5,vector_buf_b_reg[15][6]/C,operand_x_reg_reg[11][6]/D
634,-0.674,2.655,6,bf_cycle_reg[0]/C,signal_reg_reg[66][11]/D
635,-0.674,2.656,7,operand_coeff_reg_reg[118][2]/C,lane_product_reg_reg[118][4]/D
636,-0.674,2.655,3,vector_buf_b_reg[35][10]/C,operand_x_reg_reg[113][10]/D
637,-0.674,2.656,7,operand_x_reg_reg[52][4]/C,lane_product_reg_reg[52][5]/D
638,-0.674,2.655,7,operand_x_reg_reg[90][6]/C,lane_product_reg_reg[90][15]/D
639,-0.673,2.654,6,bf_cycle_reg[0]/C,signal_reg_reg[82][11]/D
640,-0.673,2.654,7,operand_x_reg_reg[74][0]/C,lane_product_reg_reg[74][6]/D
641,-0.673,2.653,7,bf_cycle_reg[0]/C,signal_reg_reg[87][14]/D
642,-0.673,2.654,3,vector_buf_b_reg[2][8]/C,operand_x_reg_reg[32][8]/D
643,-0.673,2.654,5,vector_buf_b_reg[48][13]/C,operand_x_reg_reg[11][13]/D
644,-0.673,2.655,7,operand_coeff_reg_reg[68][6]/C,lane_product_reg_reg[114][9]/D
645,-0.673,2.653,1,issue_cycle_reg[1]_rep__1/C,sched_coeff_reg_reg[56][1]/D
646,-0.673,2.655,7,operand_x_reg_reg[38][15]/C,lane_product_reg_reg[38][22]/D
647,-0.672,2.652,7,operand_x_reg_reg[104][3]/C,lane_product_reg_reg[104][11]/D
648,-0.672,2.652,7,operand_x_reg_reg[2][0]/C,lane_product_reg_reg[2][0]/D
