index,family,slack_ns,datapath_delay_ns,logic_delay_ns,route_delay_ns,logic_levels,startpoint,endpoint,start_loc,end_loc,start_fanout
299,B_kernel_control_to_p4_input_mem,-0.112000,2.092000,0.078000,2.014000,"0","u_unified_p4_kernel/ingress_data_q_reg[24]/C","u_unified_p4_kernel/input_mem_reg[0][53][8]/D","SLICE_X98Y31","SLICE_X80Y79",""
300,C_other_cache_kernel_or_write,-0.112000,2.093000,0.361000,1.732000,"4","kernel_h_rd_addr_q_reg[1][4]/C","kernel_h_rd_data_tail_q_reg[21]/D","SLICE_X80Y45","SLICE_X84Y36",""
301,C_other_cache_kernel_or_write,-0.112000,2.091000,0.398000,1.693000,"6","u_unified_p4_kernel/fifo_rd_ptr_q_reg[2]/C","vwrite_cmd_data_q_reg[1][2]/D","SLICE_X58Y102","SLICE_X69Y68",""
302,A_cache_to_lfnst_response,-0.111000,2.093000,0.353000,1.740000,"3","lfnst_mem_resp_data_q_reg[14]/C","lfnst_grid_reg[49][14]/D","SLICE_X70Y17","SLICE_X102Y19",""
303,E_other,-0.110000,2.090000,0.440000,1.650000,"4","lfnst_run_q_reg_replica/C","kernel_ctx_output_size_q_reg[2]/D","SLICE_X96Y29","SLICE_X80Y31",""
304,E_other,-0.110000,2.007000,0.343000,1.664000,"4","u_unified_p4_kernel/ready_rd_ptr_q_reg[0]/C","u_unified_p4_kernel/slot_state_q_reg[3][1]/CE","SLICE_X70Y30","SLICE_X78Y31",""
305,E_other,-0.110000,1.928000,0.177000,1.751000,"1","u_bounded_lfnst_engine/FSM_sequential_state_q_reg/C","u_bounded_lfnst_engine/products_q_reg[28]/DSP_A_B_DATA_INST/CEA2","SLICE_X86Y6","DSP48E2_X6Y7",""
306,D_control_or_r4c,-0.109000,2.090000,0.476000,1.614000,"5","kernel_vector_q_reg[0]_rep__0/C","u_unified_p4_kernel/ingress_data_q_reg[0]/D","SLICE_X102Y23","SLICE_X88Y28",""
307,E_other,-0.109000,2.090000,0.166000,1.924000,"1","u_unified_p4_kernel/issue_active_q_reg/C","u_unified_p4_kernel/issue_desc_valid_q_reg_rep__0/D","SLICE_X71Y32","SLICE_X106Y28",""
308,E_other,-0.109000,2.089000,0.612000,1.477000,"6","u_unified_p4_kernel/ready_fifo_mem_reg[3][1]/C","u_unified_p4_kernel/issue_desc_bundle_addr_q_reg[4]_rep__8/D","SLICE_X71Y30","SLICE_X78Y60",""
309,A_cache_to_lfnst_response,-0.109000,2.091000,0.177000,1.914000,"1","lfnst_mem_resp_data_q_reg[10]/C","lfnst_input_terms_q_reg[58]/D","SLICE_X70Y22","SLICE_X102Y29",""
310,E_other,-0.109000,2.090000,0.270000,1.820000,"2","u_unified_p4_kernel/issue_desc_bundle_addr_q_reg[3]_rep__0/C","u_unified_p4_kernel/product_q_reg[2][4]_i_4_psdsp/D","SLICE_X73Y36","SLICE_X96Y32",""
311,B_kernel_control_to_p4_input_mem,-0.109000,2.089000,0.078000,2.011000,"0","u_unified_p4_kernel/ingress_data_q_reg[16]/C","u_unified_p4_kernel/input_mem_reg[2][57][0]/D","SLICE_X95Y31","SLICE_X89Y67",""
312,E_other,-0.109000,2.090000,0.417000,1.673000,"5","fill_slot_reg/C","protocol_error_reg/D","SLICE_X80Y14","SLICE_X77Y14",""
313,D_control_or_r4c,-0.108000,2.003000,0.398000,1.605000,"5","lfnst_run_q_reg_replica/C","lfnst_grid_valid_reg[58]/CE","SLICE_X96Y29","SLICE_X103Y28",""
314,E_other,-0.108000,2.089000,0.363000,1.726000,"3","output_active_reg/C","output_index_reg[5]_replica_2/D","SLICE_X97Y29","SLICE_X68Y48",""
315,B_kernel_control_to_p4_input_mem,-0.108000,2.090000,0.079000,2.011000,"0","u_unified_p4_kernel/ingress_data_q_reg[59]/C","u_unified_p4_kernel/input_mem_reg[3][55][11]/D","SLICE_X87Y31","SLICE_X81Y79",""
316,D_control_or_r4c,-0.108000,2.005000,0.377000,1.628000,"3","u_bounded_lfnst_engine/out_group_reg[2]_replica_1/C","lfnst_grid_reg[21][0]/CE","SLICE_X102Y13","SLICE_X102Y24",""
317,D_control_or_r4c,-0.108000,2.004000,0.377000,1.627000,"3","u_bounded_lfnst_engine/out_group_reg[2]_replica_1/C","lfnst_grid_reg[21][2]/CE","SLICE_X102Y13","SLICE_X102Y24",""
318,D_control_or_r4c,-0.108000,2.089000,0.381000,1.708000,"5","lfnst_grid_valid_reg[15]/C","u_unified_p4_kernel/ingress_data_q_reg[27]/D","SLICE_X102Y17","SLICE_X87Y31",""
319,C_other_cache_kernel_or_write,-0.108000,2.088000,0.395000,1.693000,"6","u_unified_p4_kernel/fifo_rd_ptr_q_reg[2]/C","vwrite_cmd_data_q_reg[3][1]/D","SLICE_X58Y102","SLICE_X71Y68",""
320,D_control_or_r4c,-0.108000,2.089000,0.226000,1.863000,"2","u_bounded_lfnst_engine/out_group_reg[0]/C","lfnst_grid_valid_reg[28]/D","SLICE_X102Y9","SLICE_X98Y24",""
321,E_other,-0.107000,2.043000,0.452000,1.591000,"5","output_index_reg[0]_replica_5/C","it_data_out[38]","SLICE_X72Y35","",""
322,E_other,-0.107000,2.090000,0.503000,1.587000,"4","u_unified_p4_kernel/fifo_count_q_reg[2]/C","u_unified_p4_kernel/reserved_groups_q_reg[1]_replica/D","SLICE_X70Y86","SLICE_X81Y32",""
323,D_control_or_r4c,-0.107000,2.004000,0.303000,1.701000,"3","u_bounded_lfnst_engine/out_group_reg[3]/C","lfnst_grid_reg[14][2]/CE","SLICE_X102Y12","SLICE_X99Y19",""
324,C_other_cache_kernel_or_write,-0.107000,2.087000,0.460000,1.627000,"5","rd_cmd_addr_q_reg[0][0][2]/C","kernel_rd_raw_data_q_reg[30]/D","SLICE_X78Y13","SLICE_X80Y14",""
325,C_other_cache_read_or_response,-0.106000,1.904000,0.314000,1.590000,"2","scrub_active_reg/C","gen_input_slots[0].gen_input_banks[0].u_input_cache_bank/valid_mem_reg_768_1023_0_0/DP.A/WE","SLICE_X96Y29","SLICE_X71Y23",""
326,C_other_cache_read_or_response,-0.106000,1.904000,0.314000,1.590000,"2","scrub_active_reg/C","gen_input_slots[0].gen_input_banks[0].u_input_cache_bank/valid_mem_reg_768_1023_0_0/DP.B/WE","SLICE_X96Y29","SLICE_X71Y23",""
327,C_other_cache_read_or_response,-0.106000,1.904000,0.314000,1.590000,"2","scrub_active_reg/C","gen_input_slots[0].gen_input_banks[0].u_input_cache_bank/valid_mem_reg_768_1023_0_0/DP.C/WE","SLICE_X96Y29","SLICE_X71Y23",""
328,C_other_cache_read_or_response,-0.106000,1.904000,0.314000,1.590000,"2","scrub_active_reg/C","gen_input_slots[0].gen_input_banks[0].u_input_cache_bank/valid_mem_reg_768_1023_0_0/DP.D/WE","SLICE_X96Y29","SLICE_X71Y23",""
329,C_other_cache_read_or_response,-0.106000,1.904000,0.314000,1.590000,"2","scrub_active_reg/C","gen_input_slots[0].gen_input_banks[0].u_input_cache_bank/valid_mem_reg_768_1023_0_0/SP.A/WE","SLICE_X96Y29","SLICE_X71Y23",""
330,C_other_cache_read_or_response,-0.106000,1.904000,0.314000,1.590000,"2","scrub_active_reg/C","gen_input_slots[0].gen_input_banks[0].u_input_cache_bank/valid_mem_reg_768_1023_0_0/SP.B/WE","SLICE_X96Y29","SLICE_X71Y23",""
331,C_other_cache_read_or_response,-0.106000,1.904000,0.314000,1.590000,"2","scrub_active_reg/C","gen_input_slots[0].gen_input_banks[0].u_input_cache_bank/valid_mem_reg_768_1023_0_0/SP.C/WE","SLICE_X96Y29","SLICE_X71Y23",""
332,C_other_cache_read_or_response,-0.106000,1.904000,0.314000,1.590000,"2","scrub_active_reg/C","gen_input_slots[0].gen_input_banks[0].u_input_cache_bank/valid_mem_reg_768_1023_0_0/SP.D/WE","SLICE_X96Y29","SLICE_X71Y23",""
333,E_other,-0.106000,2.002000,0.487000,1.515000,"5","u_unified_p4_kernel/slot_state_q_reg[2][0]/C","rd_cmd_addr_q_reg[1][3][0]/CE","SLICE_X78Y31","SLICE_X78Y19",""
334,E_other,-0.106000,2.085000,0.612000,1.473000,"5","u_unified_p4_kernel/ready_fifo_mem_reg[3][1]/C","u_unified_p4_kernel/issue_desc_bundle_addr_q_reg[3]_rep__6/D","SLICE_X71Y30","SLICE_X78Y60",""
335,C_other_cache_kernel_or_write,-0.106000,2.086000,0.351000,1.735000,"4","kernel_vector_q_reg[0]_rep__0/C","vwrite_cmd_data_q_reg[1][4]/D","SLICE_X102Y23","SLICE_X69Y68",""
336,E_other,-0.106000,2.088000,0.521000,1.567000,"4","u_unified_p4_kernel/fifo_count_q_reg[2]/C","kernel_drain_group_q_reg[4]/D","SLICE_X70Y86","SLICE_X89Y43",""
337,C_other_cache_kernel_or_write,-0.105000,2.085000,0.416000,1.669000,"5","kernel_h_rd_addr_q_reg[3][3]/C","kernel_h_rd_data_q_reg[50]/D","SLICE_X84Y45","SLICE_X80Y29",""
338,C_other_cache_read_or_response,-0.105000,1.902000,0.279000,1.623000,"2","scrub_active_reg/C","gen_input_slots[1].gen_input_banks[2].u_input_cache_bank/valid_mem_reg_512_767_0_0/DP.A/WE","SLICE_X96Y29","SLICE_X81Y11",""
339,C_other_cache_read_or_response,-0.105000,1.902000,0.279000,1.623000,"2","scrub_active_reg/C","gen_input_slots[1].gen_input_banks[2].u_input_cache_bank/valid_mem_reg_512_767_0_0/DP.B/WE","SLICE_X96Y29","SLICE_X81Y11",""
340,C_other_cache_read_or_response,-0.105000,1.902000,0.279000,1.623000,"2","scrub_active_reg/C","gen_input_slots[1].gen_input_banks[2].u_input_cache_bank/valid_mem_reg_512_767_0_0/DP.C/WE","SLICE_X96Y29","SLICE_X81Y11",""
341,C_other_cache_read_or_response,-0.105000,1.902000,0.279000,1.623000,"2","scrub_active_reg/C","gen_input_slots[1].gen_input_banks[2].u_input_cache_bank/valid_mem_reg_512_767_0_0/DP.D/WE","SLICE_X96Y29","SLICE_X81Y11",""
342,C_other_cache_read_or_response,-0.105000,1.902000,0.279000,1.623000,"2","scrub_active_reg/C","gen_input_slots[1].gen_input_banks[2].u_input_cache_bank/valid_mem_reg_512_767_0_0/SP.A/WE","SLICE_X96Y29","SLICE_X81Y11",""
343,C_other_cache_read_or_response,-0.105000,1.902000,0.279000,1.623000,"2","scrub_active_reg/C","gen_input_slots[1].gen_input_banks[2].u_input_cache_bank/valid_mem_reg_512_767_0_0/SP.B/WE","SLICE_X96Y29","SLICE_X81Y11",""
344,C_other_cache_read_or_response,-0.105000,1.902000,0.279000,1.623000,"2","scrub_active_reg/C","gen_input_slots[1].gen_input_banks[2].u_input_cache_bank/valid_mem_reg_512_767_0_0/SP.C/WE","SLICE_X96Y29","SLICE_X81Y11",""
345,C_other_cache_read_or_response,-0.105000,1.902000,0.279000,1.623000,"2","scrub_active_reg/C","gen_input_slots[1].gen_input_banks[2].u_input_cache_bank/valid_mem_reg_512_767_0_0/SP.D/WE","SLICE_X96Y29","SLICE_X81Y11",""
346,C_other_cache_kernel_or_write,-0.104000,2.000000,0.598000,1.402000,"5","u_unified_p4_kernel/slot_state_q_reg[2][0]/C","kernel_h_rd_data_q_reg[15]/CE","SLICE_X78Y31","SLICE_X78Y36",""
347,E_other,-0.104000,1.999000,0.254000,1.745000,"3","u_bounded_lfnst_engine/FSM_sequential_state_q_reg/C","u_bounded_lfnst_engine/coeff_fetch_addr_q_reg_rep[2]_rep__0/CE","SLICE_X86Y6","SLICE_X70Y11",""
348,E_other,-0.104000,1.999000,0.254000,1.745000,"3","u_bounded_lfnst_engine/FSM_sequential_state_q_reg/C","u_bounded_lfnst_engine/coeff_fetch_addr_q_reg_rep[2]_rep__2/CE","SLICE_X86Y6","SLICE_X70Y11",""
349,E_other,-0.104000,1.999000,0.254000,1.745000,"3","u_bounded_lfnst_engine/FSM_sequential_state_q_reg/C","u_bounded_lfnst_engine/coeff_fetch_addr_q_reg_rep[3]_rep/CE","SLICE_X86Y6","SLICE_X70Y11",""
350,C_other_cache_kernel_or_write,-0.104000,2.085000,0.424000,1.661000,"5","rd_cmd_addr_q_reg[1][0][1]/C","kernel_rd_raw_data_q_reg[54]/D","SLICE_X84Y25","SLICE_X84Y26",""
351,D_control_or_r4c,-0.104000,2.000000,0.397000,1.603000,"4","lfnst_ntrs48_q_reg_replica/C","lfnst_grid_reg[13][6]/CE","SLICE_X102Y11","SLICE_X97Y8",""
352,D_control_or_r4c,-0.104000,1.999000,0.504000,1.495000,"6","lfnst_run_q_reg_replica/C","lfnst_grid_valid_reg[34]/CE","SLICE_X96Y29","SLICE_X102Y20",""
353,C_other_cache_kernel_or_write,-0.104000,2.084000,0.442000,1.642000,"5","rd_cmd_addr_q_reg[0][0][2]/C","kernel_rd_raw_data_q_reg[16]/D","SLICE_X78Y13","SLICE_X73Y16",""
354,D_control_or_r4c,-0.103000,1.998000,0.398000,1.600000,"5","lfnst_run_q_reg_replica/C","lfnst_grid_reg[58][11]/CE","SLICE_X96Y29","SLICE_X104Y28",""
355,D_control_or_r4c,-0.103000,1.998000,0.398000,1.600000,"5","lfnst_run_q_reg_replica/C","lfnst_grid_reg[58][9]/CE","SLICE_X96Y29","SLICE_X104Y28",""
356,E_other,-0.103000,1.999000,0.408000,1.591000,"3","u_unified_p4_kernel/slot_state_q_reg[0][0]/C","u_unified_p4_kernel/slot_bundle_base_q_reg[3][2]/CE","SLICE_X80Y34","SLICE_X72Y35",""
357,C_other_cache_kernel_or_write,-0.103000,2.084000,0.377000,1.707000,"5","rd_cmd_addr_q_reg[0][0][3]/C","kernel_rd_raw_data_q_reg[48]/D","SLICE_X78Y17","SLICE_X85Y23",""
358,E_other,-0.103000,1.998000,0.450000,1.548000,"3","u_unified_p4_kernel/slot_state_q_reg[0][0]/C","u_unified_p4_kernel/slot_bundle_base_q_reg[0][1]/CE","SLICE_X80Y34","SLICE_X73Y32",""
359,E_other,-0.103000,1.998000,0.450000,1.548000,"3","u_unified_p4_kernel/slot_state_q_reg[0][0]/C","u_unified_p4_kernel/slot_bundle_base_q_reg[0][2]/CE","SLICE_X80Y34","SLICE_X73Y32",""
360,E_other,-0.103000,1.998000,0.450000,1.548000,"3","u_unified_p4_kernel/slot_state_q_reg[0][0]/C","u_unified_p4_kernel/slot_bundle_base_q_reg[0][3]/CE","SLICE_X80Y34","SLICE_X73Y32",""
361,B_kernel_control_to_p4_input_mem,-0.103000,2.083000,0.078000,2.005000,"0","u_unified_p4_kernel/ingress_data_q_reg[36]/C","u_unified_p4_kernel/input_mem_reg[2][46][4]/D","SLICE_X92Y36","SLICE_X96Y78",""
362,B_kernel_control_to_p4_input_mem,-0.102000,2.085000,0.079000,2.006000,"0","u_unified_p4_kernel/ingress_data_q_reg[0]/C","u_unified_p4_kernel/input_mem_reg[1][40][0]/D","SLICE_X88Y28","SLICE_X101Y74",""
363,E_other,-0.102000,1.997000,0.254000,1.743000,"3","u_bounded_lfnst_engine/FSM_sequential_state_q_reg/C","u_bounded_lfnst_engine/coeff_fetch_addr_q_reg_rep[2]_rep/CE","SLICE_X86Y6","SLICE_X70Y11",""
364,E_other,-0.102000,1.997000,0.254000,1.743000,"3","u_bounded_lfnst_engine/FSM_sequential_state_q_reg/C","u_bounded_lfnst_engine/coeff_fetch_addr_q_reg_rep[2]_rep__1/CE","SLICE_X86Y6","SLICE_X70Y11",""
365,E_other,-0.102000,1.997000,0.254000,1.743000,"3","u_bounded_lfnst_engine/FSM_sequential_state_q_reg/C","u_bounded_lfnst_engine/coeff_fetch_addr_q_reg_rep[2]_rep__3/CE","SLICE_X86Y6","SLICE_X70Y11",""
