index,category,slack_ns,datapath_delay_ns,logic_delay_ns,route_delay_ns,logic_levels,startpoint,endpoint,start_cell,start_loc,end_cell,end_loc,start_net_fanout
40,D_r4c_or_launch,-0.005000,1.888000,0.478000,1.410000,"4","u_dut/frozen_r4c/red_s0_data_reg[8][3]/C","u_dut/frozen_r4c/red_s1_data_reg[2][12]/D","u_dut/frozen_r4c/red_s0_data_reg[8][3]","SLICE_X74Y25","u_dut/frozen_r4c/red_s1_data_reg[2][12]","SLICE_X89Y50","3"
41,C_result_write,-0.005000,1.851000,0.388000,1.463000,"5","u_dut/frozen_r4c/output_bank_reg[0]_rep__6/C","u_dut/result_mem_reg_960_1023_28_34/RAMA/I","u_dut/frozen_r4c/output_bank_reg[0]_rep__6","SLICE_X73Y84","u_dut/result_mem_reg_960_1023_28_34/RAMA","SLICE_X74Y101","122"
42,F_v_write,-0.004000,1.921000,0.498000,1.423000,"6","u_dut/frozen_r4c/output_bank_reg[1]_rep__7/C","u_dut/v_wr_data3_q_reg[2]/D","u_dut/frozen_r4c/output_bank_reg[1]_rep__7","SLICE_X84Y87","u_dut/v_wr_data3_q_reg[2]","SLICE_X73Y88","122"
43,D_r4c_or_launch,-0.004000,1.738000,0.212000,1.526000,"3","u_dut/phase_reg[0]/C","u_dut/frozen_r4c/r4a_vector_buf_b_reg[0][28][9]/CE","u_dut/phase_reg[0]","SLICE_X72Y60","u_dut/frozen_r4c/r4a_vector_buf_b_reg[0][28][9]","SLICE_X72Y3","1024"
44,D_r4c_or_launch,-0.004000,1.738000,0.212000,1.526000,"3","u_dut/phase_reg[0]/C","u_dut/frozen_r4c/r4a_vector_buf_b_reg[0][40][15]/CE","u_dut/phase_reg[0]","SLICE_X72Y60","u_dut/frozen_r4c/r4a_vector_buf_b_reg[0][40][15]","SLICE_X72Y3","1024"
45,D_r4c_or_launch,-0.004000,1.738000,0.212000,1.526000,"3","u_dut/phase_reg[0]/C","u_dut/frozen_r4c/r4a_vector_buf_b_reg[0][40][9]/CE","u_dut/phase_reg[0]","SLICE_X72Y60","u_dut/frozen_r4c/r4a_vector_buf_b_reg[0][40][9]","SLICE_X72Y3","1024"
46,C_result_write,-0.004000,1.859000,0.409000,1.450000,"5","u_dut/frozen_r4c/output_bank_reg[1]_rep__7/C","u_dut/result_mem_reg_448_511_7_13/RAMF/I","u_dut/frozen_r4c/output_bank_reg[1]_rep__7","SLICE_X84Y87","u_dut/result_mem_reg_448_511_7_13/RAMF","SLICE_X74Y89","122"
47,D_r4c_or_launch,-0.002000,1.850000,0.169000,1.681000,"1","u_dut/frozen_r4c/sched_bank_reg_reg[0]_rep/C","u_dut/frozen_r4c/operand_x_reg_reg[6][7]/D","u_dut/frozen_r4c/sched_bank_reg_reg[0]_rep","SLICE_X70Y11","u_dut/frozen_r4c/operand_x_reg_reg[6][7]","SLICE_X90Y20","163"
48,C_result_write,-0.002000,1.849000,0.471000,1.378000,"4","u_dut/frozen_r4c/stage16_mem_reg[1][26][9]/C","u_dut/result_mem_reg_512_575_28_34/RAMB/I","u_dut/frozen_r4c/stage16_mem_reg[1][26][9]","SLICE_X83Y84","u_dut/result_mem_reg_512_575_28_34/RAMB","SLICE_X79Y97","16"
49,A_staging_response,-0.002000,1.800000,0.430000,1.370000,"4","u_dut/stage_bank_addr1_reg[4]_rep__15/C","u_dut/stage_rsp_tag3_q_reg[2]/D","u_dut/stage_bank_addr1_reg[4]_rep__15","SLICE_X72Y65","u_dut/stage_rsp_tag3_q_reg[2]","SLICE_X76Y44","112"
50,D_r4c_or_launch,-0.001000,1.846000,0.177000,1.669000,"1","u_dut/frozen_r4c/sched_bank_reg_reg[0]_rep/C","u_dut/frozen_r4c/operand_x_reg_reg[54][7]/D","u_dut/frozen_r4c/sched_bank_reg_reg[0]_rep","SLICE_X70Y11","u_dut/frozen_r4c/operand_x_reg_reg[54][7]","SLICE_X90Y23","163"
51,A_staging_response,-0.001000,1.922000,0.464000,1.458000,"5","u_dut/stage_bank_addr0_reg[0]_rep__12/C","u_dut/stage_rsp_data1_q_reg[10]/D","u_dut/stage_bank_addr0_reg[0]_rep__12","SLICE_X71Y28","u_dut/stage_rsp_data1_q_reg[10]","SLICE_X76Y28","112"
52,D_r4c_or_launch,-0.001000,1.886000,0.202000,1.684000,"1","u_dut/frozen_r4c/sched_bank_reg_reg[0]_rep/C","u_dut/frozen_r4c/operand_x_reg_reg[38][10]/D","u_dut/frozen_r4c/sched_bank_reg_reg[0]_rep","SLICE_X70Y11","u_dut/frozen_r4c/operand_x_reg_reg[38][10]","SLICE_X90Y19","163"
