index,family,slack_ns,datapath_delay_ns,logic_delay_ns,route_delay_ns,logic_levels,startpoint,endpoint,start_loc,end_loc,start_fanout
291,C_other_cache_kernel_or_write,-0.904000,2.885000,0.704000,2.181000,"6","u_unified_p4_kernel/fifo_rd_ptr_q_reg[0]_rep__6/C","vwrite_cmd_data_q_reg[3][12]/D","SLICE_X95Y75","SLICE_X79Y62",""
292,B_kernel_control_to_p4_input_mem,-0.904000,2.884000,0.474000,2.410000,"6","lfnst_grid_reg[10][8]/C","u_unified_p4_kernel/input_mem_reg[2][50][8]/D","SLICE_X103Y77","SLICE_X84Y12",""
293,B_kernel_control_to_p4_input_mem,-0.904000,2.801000,0.476000,2.325000,"5","kernel_phase_q_reg[3]/C","u_unified_p4_kernel/input_mem_reg[1][7][13]/CE","SLICE_X87Y62","SLICE_X109Y26",""
294,B_kernel_control_to_p4_input_mem,-0.904000,2.801000,0.476000,2.325000,"5","kernel_phase_q_reg[3]/C","u_unified_p4_kernel/input_mem_reg[1][7][14]/CE","SLICE_X87Y62","SLICE_X109Y26",""
295,B_kernel_control_to_p4_input_mem,-0.904000,2.885000,0.546000,2.339000,"6","lfnst_grid_reg[20][14]/C","u_unified_p4_kernel/input_mem_reg[1][34][14]/D","SLICE_X103Y71","SLICE_X86Y18",""
296,B_kernel_control_to_p4_input_mem,-0.904000,2.885000,0.601000,2.284000,"6","kernel_vector_q_reg[1]_rep__2/C","u_unified_p4_kernel/input_mem_reg[1][47][4]/D","SLICE_X100Y81","SLICE_X102Y25",""
297,B_kernel_control_to_p4_input_mem,-0.903000,2.884000,0.656000,2.228000,"6","lfnst_grid_reg[43][1]/C","u_unified_p4_kernel/input_mem_reg[2][9][1]/D","SLICE_X103Y85","SLICE_X101Y21",""
298,B_kernel_control_to_p4_input_mem,-0.903000,2.884000,0.582000,2.302000,"6","lfnst_grid_reg[53][6]/C","u_unified_p4_kernel/input_mem_reg[3][55][6]/D","SLICE_X103Y82","SLICE_X93Y4",""
299,E_other,-0.903000,2.885000,1.692000,1.193000,"7","u_bounded_lfnst_engine/input_terms_q_reg[177]_replica/C","u_bounded_lfnst_engine/products_q_reg[11][4]/D","SLICE_X97Y110","SLICE_X101Y110",""
300,B_kernel_control_to_p4_input_mem,-0.903000,2.885000,0.549000,2.336000,"6","kernel_vector_q_reg[1]_rep__2/C","u_unified_p4_kernel/input_mem_reg[3][40][4]/D","SLICE_X100Y81","SLICE_X76Y25",""
301,E_other,-0.903000,2.884000,1.689000,1.195000,"7","u_bounded_lfnst_engine/input_terms_q_reg[175]_replica_1/C","u_bounded_lfnst_engine/products_q_reg[58][18]/D","SLICE_X97Y106","SLICE_X99Y102",""
302,B_kernel_control_to_p4_input_mem,-0.903000,2.885000,0.502000,2.383000,"5","kernel_phase_q_reg[3]/C","u_unified_p4_kernel/input_mem_reg[1][5][15]/D","SLICE_X87Y62","SLICE_X102Y34",""
