cycle,event,phase,vector,group,index,addr,end,cache,bank,request_id
67,epoch_scrub,0,,,,66,,A,1,
67,epoch_scrub,0,,,,66,,A,2,
67,epoch_scrub,0,,,,66,,A,3,
67,epoch_scrub,0,,,,66,,B,0,
67,epoch_scrub,0,,,,66,,B,1,
67,epoch_scrub,0,,,,66,,B,2,
67,epoch_scrub,0,,,,66,,B,3,
68,epoch_scrub,0,,,,67,,A,0,
68,epoch_scrub,0,,,,67,,A,1,
68,epoch_scrub,0,,,,67,,A,2,
68,epoch_scrub,0,,,,67,,A,3,
68,epoch_scrub,0,,,,67,,B,0,
68,epoch_scrub,0,,,,67,,B,1,
68,epoch_scrub,0,,,,67,,B,2,
68,epoch_scrub,0,,,,67,,B,3,
69,epoch_scrub,0,,,,68,,A,0,
69,epoch_scrub,0,,,,68,,A,1,
69,epoch_scrub,0,,,,68,,A,2,
69,epoch_scrub,0,,,,68,,A,3,
69,epoch_scrub,0,,,,68,,B,0,
69,epoch_scrub,0,,,,68,,B,1,
69,epoch_scrub,0,,,,68,,B,2,
69,epoch_scrub,0,,,,68,,B,3,
70,epoch_scrub,0,,,,69,,A,0,
70,epoch_scrub,0,,,,69,,A,1,
70,epoch_scrub,0,,,,69,,A,2,
70,epoch_scrub,0,,,,69,,A,3,
70,epoch_scrub,0,,,,69,,B,0,
70,epoch_scrub,0,,,,69,,B,1,
70,epoch_scrub,0,,,,69,,B,2,
70,epoch_scrub,0,,,,69,,B,3,
71,epoch_scrub,0,,,,70,,A,0,
71,epoch_scrub,0,,,,70,,A,1,
71,epoch_scrub,0,,,,70,,A,2,
71,epoch_scrub,0,,,,70,,A,3,
71,epoch_scrub,0,,,,70,,B,0,
71,epoch_scrub,0,,,,70,,B,1,
71,epoch_scrub,0,,,,70,,B,2,
71,epoch_scrub,0,,,,70,,B,3,
72,epoch_scrub,0,,,,71,,A,0,
72,epoch_scrub,0,,,,71,,A,1,
72,epoch_scrub,0,,,,71,,A,2,
72,epoch_scrub,0,,,,71,,A,3,
72,epoch_scrub,0,,,,71,,B,0,
72,epoch_scrub,0,,,,71,,B,1,
72,epoch_scrub,0,,,,71,,B,2,
72,epoch_scrub,0,,,,71,,B,3,
73,epoch_scrub,0,,,,72,,A,0,
73,epoch_scrub,0,,,,72,,A,1,
73,epoch_scrub,0,,,,72,,A,2,
73,epoch_scrub,0,,,,72,,A,3,
73,epoch_scrub,0,,,,72,,B,0,
73,epoch_scrub,0,,,,72,,B,1,
73,epoch_scrub,0,,,,72,,B,2,
73,epoch_scrub,0,,,,72,,B,3,
74,epoch_scrub,0,,,,73,,A,0,
74,epoch_scrub,0,,,,73,,A,1,
74,epoch_scrub,0,,,,73,,A,2,
74,epoch_scrub,0,,,,73,,A,3,
74,epoch_scrub,0,,,,73,,B,0,
74,epoch_scrub,0,,,,73,,B,1,
74,epoch_scrub,0,,,,73,,B,2,
74,epoch_scrub,0,,,,73,,B,3,
75,epoch_scrub,0,,,,74,,A,0,
75,epoch_scrub,0,,,,74,,A,1,
75,epoch_scrub,0,,,,74,,A,2,
75,epoch_scrub,0,,,,74,,A,3,
75,epoch_scrub,0,,,,74,,B,0,
75,epoch_scrub,0,,,,74,,B,1,
75,epoch_scrub,0,,,,74,,B,2,
75,epoch_scrub,0,,,,74,,B,3,
76,epoch_scrub,0,,,,75,,A,0,
76,epoch_scrub,0,,,,75,,A,1,
76,epoch_scrub,0,,,,75,,A,2,
76,epoch_scrub,0,,,,75,,A,3,
