index,slack,delay,logic_levels,startpoint,endpoint
2870,-0.206,2.186,7,operand_coeff_reg_reg[65][7]/C,lane_product_reg_reg[65][14]/D
2871,-0.206,2.187,7,operand_coeff_reg_reg[65][7]/C,lane_product_reg_reg[65][18]/D
2872,-0.205,2.185,7,operand_coeff_reg_reg[0][0]/C,lane_product_reg_reg[115][0]/D
2873,-0.205,2.185,7,operand_x_reg_reg[52][3]/C,lane_product_reg_reg[52][3]/D
2874,-0.205,2.185,7,operand_coeff_reg_reg[92][1]/C,lane_product_reg_reg[92][1]/D
2875,-0.204,2.185,7,operand_coeff_reg_reg[77][7]/C,lane_product_reg_reg[77][10]/D
2876,-0.204,2.184,7,operand_coeff_reg_reg[29][3]/C,lane_product_reg_reg[29][2]/D
2877,-0.204,2.184,7,operand_x_reg_reg[52][3]/C,lane_product_reg_reg[52][16]/D
2878,-0.204,2.186,7,operand_x_reg_reg[92][5]/C,lane_product_reg_reg[92][6]/D
2879,-0.204,2.185,7,operand_coeff_reg_reg[113][1]/C,lane_product_reg_reg[113][0]/D
2880,-0.204,2.184,7,operand_coeff_reg_reg[43][3]/C,lane_product_reg_reg[43][17]/D
2881,-0.204,2.185,7,operand_coeff_reg_reg[27][6]/C,lane_product_reg_reg[27][11]/D
2882,-0.204,2.185,7,operand_coeff_reg_reg[74][6]/C,lane_product_reg_reg[74][6]/D
2883,-0.204,2.184,7,operand_coeff_reg_reg[76][0]/C,lane_product_reg_reg[76][3]/D
2884,-0.204,2.186,7,operand_x_reg_reg[90][0]/C,lane_product_reg_reg[90][8]/D
2885,-0.204,2.186,7,operand_x_reg_reg[40][2]/C,lane_product_reg_reg[40][4]/D
2886,-0.204,2.185,7,operand_x_reg_reg[2][15]/C,lane_product_reg_reg[2][37]/D
2887,-0.203,2.185,1,r4a_issue_cycle_reg[0][1]/C,sched_coeff_reg_reg[117][5]/D
2888,-0.203,2.184,7,operand_coeff_reg_reg[2][2]/C,lane_product_reg_reg[2][19]/D
2889,-0.203,2.183,7,operand_coeff_reg_reg[2][2]/C,lane_product_reg_reg[2][9]/D
2890,-0.203,2.183,7,operand_x_reg_reg[110][2]/C,lane_product_reg_reg[110][10]/D
2891,-0.203,2.183,7,operand_coeff_reg_reg[76][0]/C,lane_product_reg_reg[76][0]/D
2892,-0.203,2.183,7,operand_coeff_reg_reg[49][0]/C,lane_product_reg_reg[49][0]/D
2893,-0.203,2.183,7,operand_x_reg_reg[31][1]/C,lane_product_reg_reg[63][2]/D
2894,-0.202,2.182,7,operand_x_reg_reg[37][6]/C,lane_product_reg_reg[37][11]/D
2895,-0.202,2.185,7,operand_x_reg_reg[49][13]/C,lane_product_reg_reg[81][18]/D
2896,-0.202,2.183,7,operand_coeff_reg_reg[12][7]/C,lane_product_reg_reg[12][14]/D
2897,-0.202,2.183,7,operand_x_reg_reg[0][3]/C,lane_product_reg_reg[0][8]/D
2898,-0.202,2.183,7,operand_coeff_reg_reg[102][1]/C,lane_product_reg_reg[102][0]/D
2899,-0.202,2.182,7,operand_x_reg_reg[111][1]/C,lane_product_reg_reg[111][1]/D
2900,-0.202,2.182,7,operand_coeff_reg_reg[122][4]/C,lane_product_reg_reg[122][11]/D
2901,-0.202,2.183,7,operand_coeff_reg_reg[43][3]/C,lane_product_reg_reg[43][19]/D
2902,-0.201,2.182,7,operand_coeff_reg_reg[2][2]/C,lane_product_reg_reg[2][8]/D
2903,-0.201,2.181,7,operand_x_reg_reg[52][3]/C,lane_product_reg_reg[52][19]/D
2904,-0.201,2.183,7,operand_x_reg_reg[92][5]/C,lane_product_reg_reg[92][15]/D
2905,-0.201,2.181,7,operand_coeff_reg_reg[15][1]/C,lane_product_reg_reg[15][0]/D
2906,-0.201,2.182,7,operand_coeff_reg_reg[43][3]/C,lane_product_reg_reg[43][2]/D
2907,-0.200,2.180,7,operand_x_reg_reg[46][0]/C,lane_product_reg_reg[78][0]/D
2908,-0.200,2.181,7,operand_coeff_reg_reg[27][6]/C,lane_product_reg_reg[27][12]/D
2909,-0.200,2.180,7,operand_coeff_reg_reg[9][1]/C,lane_product_reg_reg[9][0]/D
2910,-0.200,2.179,7,operand_x_reg_reg[47][2]/C,lane_product_reg_reg[47][7]/D
2911,-0.200,2.179,7,operand_x_reg_reg[47][2]/C,lane_product_reg_reg[47][4]/D
2912,-0.199,2.181,7,operand_x_reg_reg[92][5]/C,lane_product_reg_reg[92][16]/D
2913,-0.199,2.182,7,operand_x_reg_reg[88][1]/C,lane_product_reg_reg[120][5]/D
2914,-0.199,2.178,7,operand_x_reg_reg[47][2]/C,lane_product_reg_reg[47][6]/D
2915,-0.198,2.181,7,operand_coeff_reg_reg[50][0]/C,lane_product_reg_reg[50][1]/D
2916,-0.198,2.178,7,operand_coeff_reg_reg[111][2]/C,lane_product_reg_reg[111][12]/D
2917,-0.198,2.178,7,operand_coeff_reg_reg[116][1]/C,lane_product_reg_reg[116][4]/D
2918,-0.198,2.177,7,operand_x_reg_reg[47][2]/C,lane_product_reg_reg[47][2]/D
2919,-0.198,2.092,1,capture_pending_reg/C,stage16_mem_reg[2][30][12]/CE
2920,-0.197,2.179,7,operand_coeff_reg_reg[74][2]/C,lane_product_reg_reg[54][4]/D
