"site","site_type","tile","tile_x","tile_y","clock_region","legal_ff_bel_count","legal_lut_bel_count","occupied_cell_count","occupied_ff_count","occupied_lut_count","occupied_control_sets","occupied_cells"
"SLICE_X94Y110","SLICEL","CLEL_R_X61Y110","315","134","X3Y1","16","16","12","9","3","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/issue_desc_valid_q_reg_rep__4_n_0|u_dut/u_unified_p4_kernel/s0_input_q[29][15]_i_1_n_0;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[3][31][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[2][31][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;;;;;"
"SLICE_X95Y110","SLICEM","CLEM_X62Y110","318","134","X3Y1","16","16","6","5","1","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/issue_desc_valid_q_reg_rep__4_n_0|u_dut/u_unified_p4_kernel/s0_input_q[29][15]_i_1_n_0;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[3][31][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[0][31][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>",";;;;;"
"SLICE_X96Y110","SLICEM","CLEM_X63Y110","322","134","X3Y1","16","16","14","11","3","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/issue_desc_valid_q_reg_rep__4_n_0|u_dut/u_unified_p4_kernel/s0_input_q[31][15]_i_1_n_0;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[3][31][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[2][31][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;;;;;;;"
"SLICE_X97Y110","SLICEL","CLEL_R_X63Y110","324","134","X3Y1","16","16","10","9","1","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/issue_desc_valid_q_reg_rep__4_n_0|u_dut/u_unified_p4_kernel/s0_input_q[30][15]_i_1_n_0;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[1][31][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[0][31][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;;;"
"SLICE_X98Y110","SLICEM","CLEM_X64Y110","327","134","X3Y1","16","16","0","0","0","",""
"SLICE_X99Y110","SLICEL","CLEL_R_X64Y110","329","134","X3Y1","16","16","0","0","0","",""
"SLICE_X100Y110","SLICEL","CLEL_R_X65Y110","333","134","X3Y1","16","16","0","0","0","",""
"SLICE_X101Y110","SLICEM","CLEM_X66Y110","336","134","X3Y1","16","16","0","0","0","",""
"SLICE_X102Y110","SLICEL","CLEL_R_X67Y110","347","134","X3Y1","16","16","0","0","0","",""
"SLICE_X103Y110","SLICEM","CLEM_R_X68Y110","348","134","X3Y1","16","16","0","0","0","",""
"SLICE_X104Y110","SLICEL","CLEL_R_X68Y110","350","134","X3Y1","16","16","0","0","0","",""
"SLICE_X105Y110","SLICEL","CLEL_R_X69Y110","354","134","X3Y1","16","16","0","0","0","",""
"SLICE_X106Y110","SLICEM","CLEM_R_X70Y110","357","134","X3Y1","16","16","0","0","0","",""
"SLICE_X107Y110","SLICEM","CLEM_R_X71Y110","361","134","X3Y1","16","16","0","0","0","",""
"SLICE_X108Y110","SLICEL","CLEL_R_X71Y110","363","134","X3Y1","16","16","0","0","0","",""
"SLICE_X109Y110","SLICEM","CLEM_R_X72Y110","366","134","X3Y1","16","16","0","0","0","",""
"SLICE_X110Y110","SLICEM","CLEM_R_X73Y110","370","134","X3Y1","16","16","0","0","0","",""
"SLICE_X111Y110","SLICEL","CLEL_R_X73Y110","372","134","X3Y1","16","16","0","0","0","",""
"SLICE_X112Y110","SLICEM","CLEM_R_X74Y110","375","134","X3Y1","16","16","0","0","0","",""
"SLICE_X40Y109","SLICEL","CLEL_L_X26Y109","162","135","X1Y1","16","16","0","0","0","",""
"SLICE_X41Y109","SLICEL","CLEL_R_X26Y109","164","135","X1Y1","16","16","0","0","0","",""
"SLICE_X42Y109","SLICEM","CLEM_X27Y109","167","135","X1Y1","16","16","0","0","0","",""
"SLICE_X43Y109","SLICEL","CLEL_R_X28Y109","174","135","X1Y1","16","16","0","0","0","",""
"SLICE_X44Y109","SLICEM","CLEM_X29Y109","177","135","X1Y1","16","16","0","0","0","",""
"SLICE_X45Y109","SLICEL","CLEL_R_X29Y109","179","135","X1Y1","16","16","0","0","0","",""
"SLICE_X46Y109","SLICEL","CLEL_L_X30Y109","180","135","X1Y1","16","16","1","0","1","",""
"SLICE_X47Y109","SLICEL","CLEL_R_X30Y109","182","135","X1Y1","16","16","0","0","0","",""
"SLICE_X48Y109","SLICEL","CLEL_R_X31Y109","186","135","X1Y1","16","16","6","5","1","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/issue_desc_valid_q_reg_rep__24_n_0|u_dut/u_unified_p4_kernel/s0_input_q[44][15]_i_1_n_0;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[3][47][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[0][47][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>",";;;;;"
"SLICE_X49Y109","SLICEM","CLEM_X32Y109","189","135","X1Y1","16","16","4","3","0","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/s1_valid_q_repN_24|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[2][47][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[1][47][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>",";;;"
"SLICE_X50Y109","SLICEM","CLEM_X33Y109","193","135","X1Y1","16","16","9","8","1","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/issue_desc_valid_q_reg_rep__21_n_0|u_dut/u_unified_p4_kernel/s0_input_q[44][15]_i_1_n_0;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[0][47][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[1][47][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;;"
