"ingress_bit","endpoint_d","startpoint","slack","logic_levels","logic_delay_ns","routing_delay_ns","datapath_delay_ns","start_cell","start_loc","start_site","start_tile","start_tile_x","start_tile_y","start_clock_region","end_cell","end_loc","end_site","end_tile","end_tile_x","end_tile_y","end_clock_region","source_family"
"30","u_dut/u_unified_p4_kernel/ingress_data_q_reg[30]/D","u_dut/kernel_vector_q_reg[2]/C","-0.122","4","0.525","1.480","2.005","u_dut/kernel_vector_q_reg[2]","SLICE_X68Y157","SLICE_X68Y157","CLEL_R_X44Y157","243","85","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[30]","SLICE_X70Y148","SLICE_X70Y148","CLEL_R_X45Y148","246","95","X2Y2","kernel_vector"
"31","u_dut/u_unified_p4_kernel/ingress_data_q_reg[31]/D","u_dut/kernel_vector_q_reg[0]_rep/C","-0.121","5","0.331","1.675","2.006","u_dut/kernel_vector_q_reg[0]_rep","SLICE_X68Y162","SLICE_X68Y162","CLEL_R_X44Y162","243","80","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[31]","SLICE_X69Y135","SLICE_X69Y135","CLEL_L_X45Y135","244","108","X2Y2","kernel_vector"
"32","u_dut/u_unified_p4_kernel/ingress_data_q_reg[32]/D","u_dut/kernel_vector_q_reg[1]_rep__1/C","-0.089","5","0.474","1.494","1.968","u_dut/kernel_vector_q_reg[1]_rep__1","SLICE_X60Y150","SLICE_X60Y150","CLEL_R_X39Y150","222","92","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[32]","SLICE_X68Y136","SLICE_X68Y136","CLEL_R_X44Y136","243","107","X2Y2","kernel_vector"
"33","u_dut/u_unified_p4_kernel/ingress_data_q_reg[33]/D","u_dut/kernel_vector_q_reg[0]_rep/C","0.038","7","0.446","1.398","1.844","u_dut/kernel_vector_q_reg[0]_rep","SLICE_X68Y162","SLICE_X68Y162","CLEL_R_X44Y162","243","80","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[33]","SLICE_X70Y138","SLICE_X70Y138","CLEL_R_X45Y138","246","105","X2Y2","kernel_vector"
"34","u_dut/u_unified_p4_kernel/ingress_data_q_reg[34]/D","u_dut/kernel_vector_q_reg[2]/C","-0.046","4","0.337","1.708","2.045","u_dut/kernel_vector_q_reg[2]","SLICE_X68Y157","SLICE_X68Y157","CLEL_R_X44Y157","243","85","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[34]","SLICE_X69Y133","SLICE_X69Y133","CLEL_L_X45Y133","244","110","X2Y2","kernel_vector"
"35","u_dut/u_unified_p4_kernel/ingress_data_q_reg[35]/D","u_dut/kernel_stage_q_reg/C","-0.117","5","0.495","1.494","1.989","u_dut/kernel_stage_q_reg","SLICE_X69Y129","SLICE_X69Y129","CLEL_L_X45Y129","244","114","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[35]","SLICE_X72Y138","SLICE_X72Y138","CLEL_R_X46Y138","251","105","X2Y2","kernel_stage"
"36","u_dut/u_unified_p4_kernel/ingress_data_q_reg[36]/D","u_dut/kernel_vector_q_reg[1]_rep__2/C","-0.099","5","0.481","1.506","1.987","u_dut/kernel_vector_q_reg[1]_rep__2","SLICE_X67Y157","SLICE_X67Y157","CLEM_X44Y157","241","85","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[36]","SLICE_X69Y140","SLICE_X69Y140","CLEL_L_X45Y140","244","103","X2Y2","kernel_vector"
"37","u_dut/u_unified_p4_kernel/ingress_data_q_reg[37]/D","u_dut/kernel_vector_q_reg[0]_rep/C","-0.098","7","0.445","1.535","1.980","u_dut/kernel_vector_q_reg[0]_rep","SLICE_X68Y162","SLICE_X68Y162","CLEL_R_X44Y162","243","80","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[37]","SLICE_X72Y141","SLICE_X72Y141","CLEL_R_X46Y141","251","102","X2Y2","kernel_vector"
"38","u_dut/u_unified_p4_kernel/ingress_data_q_reg[38]/D","u_dut/kernel_vector_q_reg[1]_rep__2/C","-0.110","5","0.439","1.559","1.998","u_dut/kernel_vector_q_reg[1]_rep__2","SLICE_X67Y157","SLICE_X67Y157","CLEM_X44Y157","241","85","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[38]","SLICE_X69Y132","SLICE_X69Y132","CLEL_L_X45Y132","244","111","X2Y2","kernel_vector"
"39","u_dut/u_unified_p4_kernel/ingress_data_q_reg[39]/D","u_dut/kernel_vector_q_reg[0]_rep/C","-0.059","7","0.485","1.457","1.942","u_dut/kernel_vector_q_reg[0]_rep","SLICE_X68Y162","SLICE_X68Y162","CLEL_R_X44Y162","243","80","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[39]","SLICE_X72Y135","SLICE_X72Y135","CLEL_R_X46Y135","251","108","X2Y2","kernel_vector"
"3","u_dut/u_unified_p4_kernel/ingress_data_q_reg[3]/D","u_dut/kernel_vector_q_reg[0]_rep__0/C","-0.048","5","0.465","1.559","2.024","u_dut/kernel_vector_q_reg[0]_rep__0","SLICE_X60Y150","SLICE_X60Y150","CLEL_R_X39Y150","222","92","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[3]","SLICE_X70Y135","SLICE_X70Y135","CLEL_R_X45Y135","246","108","X2Y2","kernel_vector"
"40","u_dut/u_unified_p4_kernel/ingress_data_q_reg[40]/D","u_dut/kernel_vector_q_reg[0]_rep/C","-0.043","7","0.445","1.488","1.933","u_dut/kernel_vector_q_reg[0]_rep","SLICE_X68Y162","SLICE_X68Y162","CLEL_R_X44Y162","243","80","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[40]","SLICE_X70Y133","SLICE_X70Y133","CLEL_R_X45Y133","246","110","X2Y2","kernel_vector"
"41","u_dut/u_unified_p4_kernel/ingress_data_q_reg[41]/D","u_dut/kernel_vector_q_reg[0]_rep/C","-0.111","7","0.547","1.449","1.996","u_dut/kernel_vector_q_reg[0]_rep","SLICE_X68Y162","SLICE_X68Y162","CLEL_R_X44Y162","243","80","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[41]","SLICE_X72Y138","SLICE_X72Y138","CLEL_R_X46Y138","251","105","X2Y2","kernel_vector"
"42","u_dut/u_unified_p4_kernel/ingress_data_q_reg[42]/D","u_dut/kernel_vector_q_reg[0]_rep/C","-0.119","7","0.485","1.552","2.037","u_dut/kernel_vector_q_reg[0]_rep","SLICE_X68Y162","SLICE_X68Y162","CLEL_R_X44Y162","243","80","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[42]","SLICE_X73Y139","SLICE_X73Y139","CLEL_R_X47Y139","255","104","X2Y2","kernel_vector"
"43","u_dut/u_unified_p4_kernel/ingress_data_q_reg[43]/D","u_dut/kernel_stage_q_reg/C","-0.028","5","0.504","1.444","1.948","u_dut/kernel_stage_q_reg","SLICE_X69Y129","SLICE_X69Y129","CLEL_L_X45Y129","244","114","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[43]","SLICE_X70Y136","SLICE_X70Y136","CLEL_R_X45Y136","246","107","X2Y2","kernel_stage"
"44","u_dut/u_unified_p4_kernel/ingress_data_q_reg[44]/D","u_dut/kernel_vector_q_reg[1]_rep__1/C","-0.071","5","0.519","1.469","1.988","u_dut/kernel_vector_q_reg[1]_rep__1","SLICE_X60Y150","SLICE_X60Y150","CLEL_R_X39Y150","222","92","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[44]","SLICE_X69Y136","SLICE_X69Y136","CLEL_L_X45Y136","244","107","X2Y2","kernel_vector"
