bucket,canonical_source_family,canonical_endpoint_family,r5f_endpoint_count,r5f_tns_ns,r6a_endpoint_count,r6a_tns_ns,tns_delta_r6_minus_r5_ns,status
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_8,u_dut/u_unified_p4_kernel/product_q_reg,1,-0.023,0,0.0,0.023,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_8,u_dut/u_unified_p4_kernel/product_q_reg_i_1_psdsp,0,0.0,2,-0.033,-0.033,NEWLY_EXPOSED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_8,u_dut/u_unified_p4_kernel/product_q_reg_i_1_psdsp_1,1,-0.027,0,0.0,0.027,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_8,u_dut/u_unified_p4_kernel/product_q_reg_i_1_psdsp_5,1,-0.015,0,0.0,0.015,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_8,u_dut/u_unified_p4_kernel/product_q_reg_i_2_psdsp,0,0.0,1,-0.006,-0.006,NEWLY_EXPOSED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_8,u_dut/u_unified_p4_kernel/product_q_reg_i_3_psdsp,1,-0.028,0,0.0,0.028,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_8,u_dut/u_unified_p4_kernel/product_q_reg_i_4_psdsp,1,-0.023,2,-0.041,-0.018,SURVIVED_FROM_R5
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_8,u_dut/u_unified_p4_kernel/product_q_reg_i_5_psdsp,1,-0.054,0,0.0,0.054,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_8,u_dut/u_unified_p4_kernel/product_q_reg_i_6_psdsp,1,-0.011,0,0.0,0.011,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_8,u_dut/u_unified_p4_kernel/product_q_reg_i_7_psdsp,3,-0.087,0,0.0,0.087,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_8,u_dut/u_unified_p4_kernel/product_q_reg_i_8_psdsp,1,-0.075,1,-0.004,0.071,MATERIAL_REDUCTION
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_9,u_dut/u_unified_p4_kernel/product_q_reg,2,-0.06,0,0.0,0.06,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_9,u_dut/u_unified_p4_kernel/product_q_reg_i_4_psdsp_1,1,-0.075,0,0.0,0.075,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_9,u_dut/u_unified_p4_kernel/product_q_reg_i_8_psdsp,2,-0.038,0,0.0,0.038,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_slot_q_reg_0,u_dut/u_unified_p4_kernel/s0_input_q_reg,9,-0.317,0,0.0,0.317,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_slot_q_reg_1,u_dut/u_unified_p4_kernel/s0_input_q_reg,3,-0.074,0,0.0,0.074,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_valid_q_reg_1,u_dut/u_unified_p4_kernel/product_q_reg_i_3_psdsp_1,1,-0.015,0,0.0,0.015,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_valid_q_reg_1,u_dut/u_unified_p4_kernel/product_q_reg_i_6_psdsp,1,-0.007,0,0.0,0.007,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_valid_q_reg_10,u_dut/u_unified_p4_kernel/product_q_reg_i_2_psdsp,3,-0.066,0,0.0,0.066,DISAPPEARED_AFTER_R6
