index,slack,datapath_delay,logic_levels,startpoint,endpoint
144,-0.728,2.710,5,vector_buf_b_reg[45][2]/C,operand_x_reg_reg[46][2]/D
145,-0.728,2.709,2,sched_src_reg_reg[28][2]_rep__3/C,operand_x_reg_reg[83][5]/D
146,-0.728,2.710,6,bf_cycle_reg[3]/C,signal_reg_reg[121][21]/D
147,-0.728,2.708,4,vector_buf_b_reg[25][0]/C,operand_x_reg_reg[124][0]/D
148,-0.728,2.711,4,sched_src_reg_reg[50][3]/C,operand_x_reg_reg[62][5]/D
149,-0.728,2.709,6,bf_cycle_reg[3]/C,signal_reg_reg[122][19]/D
150,-0.728,2.708,5,vector_buf_a_reg[15][15]/C,operand_x_reg_reg[82][15]/D
151,-0.728,2.708,5,vector_buf_b_reg[30][13]/C,operand_x_reg_reg[46][13]/D
152,-0.728,2.709,6,bf_cycle_reg[3]/C,signal_reg_reg[114][19]/D
153,-0.728,2.708,5,vector_buf_a_reg[33][6]/C,operand_x_reg_reg[71][6]/D
154,-0.727,2.708,5,vector_buf_a_reg[56][7]/C,operand_x_reg_reg[117][7]/D
155,-0.727,2.710,7,operand_x_reg_reg[110][5]/C,lane_product_reg_reg[110][11]/D
156,-0.727,2.708,4,lane_product_reg_reg[127][7]/C,red_s0_data_reg[60][23]/D
157,-0.727,2.709,6,bf_cycle_reg[3]/C,signal_reg_reg[61][19]/D
158,-0.727,2.707,5,vector_buf_a_reg[41][2]/C,operand_x_reg_reg[50][2]/D
159,-0.727,2.707,5,vector_buf_b_reg[1][9]/C,operand_x_reg_reg[84][9]/D
160,-0.727,2.707,5,vector_buf_b_reg[2][9]/C,operand_x_reg_reg[93][9]/D
161,-0.727,2.708,5,vector_buf_a_reg[53][0]/C,operand_x_reg_reg[50][0]/D
162,-0.727,2.708,5,vector_buf_a_reg[23][5]/C,operand_x_reg_reg[84][5]/D
163,-0.727,2.707,5,vector_buf_a_reg[21][10]/C,operand_x_reg_reg[84][10]/D
164,-0.726,2.708,5,vector_buf_b_reg[46][9]/C,operand_x_reg_reg[70][9]/D
165,-0.726,2.706,4,sched_src_reg_reg[29][5]_rep/C,operand_x_reg_reg[79][5]/D
166,-0.726,2.707,4,lane_product_reg_reg[127][7]/C,red_s0_data_reg[60][21]/D
167,-0.726,2.708,4,vector_buf_b_reg[28][3]/C,operand_x_reg_reg[103][3]/D
168,-0.726,2.707,6,bf_cycle_reg[3]/C,signal_reg_reg[4][21]/D
169,-0.726,2.707,4,vector_buf_b_reg[34][0]/C,operand_x_reg_reg[121][0]/D
170,-0.725,2.706,5,vector_buf_b_reg[37][10]/C,operand_x_reg_reg[46][10]/D
171,-0.725,2.705,5,vector_buf_a_reg[54][11]/C,operand_x_reg_reg[3][11]/D
172,-0.725,2.706,5,vector_buf_b_reg[19][0]/C,operand_x_reg_reg[125][0]/D
173,-0.724,2.707,2,sched_src_reg_reg[44][5]/C,operand_x_reg_reg[70][4]/D
174,-0.724,2.705,5,vector_buf_a_reg[23][9]/C,operand_x_reg_reg[50][9]/D
175,-0.724,2.705,5,vector_buf_b_reg[7][15]/C,operand_x_reg_reg[46][15]/D
176,-0.724,2.706,6,bf_cycle_reg[3]/C,signal_reg_reg[95][18]/D
177,-0.724,2.703,5,vector_buf_b_reg[28][9]/C,operand_x_reg_reg[44][9]/D
178,-0.724,2.703,4,lane_product_reg_reg[127][3]/C,red_s0_data_reg[61][23]/D
